 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 5.59425928e-08  3.39956994e-09  4.65904826e-01  4.65904826e-01  4.65904826e-01  4.65904826e-01  3.35170686e-09  3.19902239e-09  1.74467711e-07  5.54783668e-08  1.00000000e+00 
 5.79010759e-08  4.65905449e-01  4.65905449e-01  4.65905449e-01  4.65905449e-01  4.65905449e-01  3.35170690e-09  3.19902241e-09  1.74468575e-07  5.74084709e-08  1.00000000e+00 
 6.15434033e-08  3.39956990e-09  3.52732987e-09  3.43473650e-09  3.29442311e-09  3.24400118e-09  4.65902920e-01  3.19902232e-09  1.74465072e-07  6.09978912e-08  1.00000000e+00 
 6.34200603e-08  4.65903516e-01  3.52732987e-09  3.43473649e-09  3.29442314e-09  3.24400122e-09  4.65903516e-01  3.19902234e-09  1.74465896e-07  6.28472634e-08  1.00000000e+00 
 6.53535608e-08  3.39956997e-09  4.65903545e-01  3.43473650e-09  3.29442315e-09  3.24400122e-09  4.65903545e-01  3.19902235e-09  1.74465931e-07  6.47525980e-08  1.00000000e+00 
 6.73003626e-08  4.65904181e-01  4.65904181e-01  3.43473657e-09  3.29442315e-09  3.24400128e-09  4.65904181e-01  3.19902240e-09  1.74466823e-07  6.66710349e-08  1.00000000e+00 
 6.93067648e-08  3.39956995e-09  3.52732989e-09  4.65903531e-01  3.29442312e-09  3.24400119e-09  4.65903531e-01  3.19902231e-09  1.74465917e-07  6.86481059e-08  1.00000000e+00 
 7.12497013e-08  4.65904189e-01  3.52732998e-09  4.65904188e-01  3.29442318e-09  3.24400126e-09  4.65904188e-01  3.19902236e-09  1.74466823e-07  7.05627201e-08  1.00000000e+00 
 7.32098044e-08  3.39956998e-09  4.65904210e-01  4.65904210e-01  3.29442318e-09  3.24400126e-09  4.65904210e-01  3.19902237e-09  1.74466855e-07  7.24940321e-08  1.00000000e+00 
 7.51695381e-08  4.65904825e-01  4.65904825e-01  4.65904825e-01  3.29442321e-09  3.24400129e-09  4.65904825e-01  3.19902239e-09  1.74467711e-07  7.44251594e-08  1.00000000e+00 
 7.59209513e-08  3.39956989e-09  3.52732989e-09  3.43473652e-09  4.65903537e-01  3.24400124e-09  4.65903537e-01  3.19902237e-09  1.74465928e-07  7.51654454e-08  1.00000000e+00 
 7.78600509e-08  4.65904157e-01  3.52732998e-09  3.43473654e-09  4.65904157e-01  3.24400125e-09  4.65904157e-01  3.19902236e-09  1.74466788e-07  7.70759812e-08  1.00000000e+00 
 7.98234794e-08  3.39956998e-09  4.65904189e-01  3.43473660e-09  4.65904189e-01  3.24400131e-09  4.65904189e-01  3.19902236e-09  1.74466827e-07  7.90106185e-08  1.00000000e+00 
 8.17957755e-08  4.65904800e-01  4.65904800e-01  3.43473665e-09  4.65904800e-01  3.24400129e-09  4.65904800e-01  3.19902239e-09  1.74467676e-07  8.09538960e-08  1.00000000e+00 
 8.38047072e-08  3.39956998e-09  3.52732992e-09  4.65904180e-01  4.65904180e-01  3.24400131e-09  4.65904180e-01  3.19902236e-09  1.74466816e-07  8.29331697e-08  1.00000000e+00 
 8.57470468e-08  4.65904801e-01  3.52732998e-09  4.65904801e-01  4.65904801e-01  3.24400129e-09  4.65904801e-01  3.19902239e-09  1.74467672e-07  8.48467892e-08  1.00000000e+00 
 8.77030857e-08  3.39956994e-09  4.65904816e-01  4.65904816e-01  4.65904816e-01  3.24400129e-09  4.65904816e-01  3.19902239e-09  1.74467697e-07  8.67736816e-08  1.00000000e+00 
 8.96567371e-08  4.65905433e-01  4.65905433e-01  4.65905433e-01  4.65905433e-01  3.24400138e-09  4.65905433e-01  3.19902241e-09  1.74468553e-07  8.86984424e-08  1.00000000e+00 
 9.10588653e-08  3.39956991e-09  3.52732987e-09  3.43473649e-09  3.29442315e-09  4.65903544e-01  4.65903544e-01  3.19902234e-09  1.74465935e-07  9.00798085e-08  1.00000000e+00 
 9.29505291e-08  4.65904179e-01  3.52732992e-09  3.43473660e-09  3.29442318e-09  4.65904179e-01  4.65904179e-01  3.19902236e-09  1.74466816e-07  9.19434200e-08  1.00000000e+00 
 9.48906518e-08  3.39956998e-09  4.65904223e-01  3.43473660e-09  3.29442318e-09  4.65904222e-01  4.65904222e-01  3.19902237e-09  1.74466873e-07  9.38546094e-08  1.00000000e+00 
