 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 4.66222474e-08  4.56296336e-01  4.56296336e-01  4.56296336e-01  4.56296336e-01  4.56296336e-01  3.15553326e-09  3.30527086e-09  1.56092382e-07  4.66222474e-08  1.00000000e+00 
 4.71586858e-08  3.75374796e-09  3.20501019e-09  3.26677716e-09  3.40983297e-09  3.31434909e-09  4.56293426e-01  3.30527080e-09  1.56088504e-07  4.71586858e-08  1.00000000e+00 
 4.86104952e-08  4.56294182e-01  3.20501017e-09  3.26677713e-09  3.40983300e-09  3.31434911e-09  4.56294183e-01  3.30527081e-09  1.56089523e-07  4.86104952e-08  1.00000000e+00 
 5.00974906e-08  3.75374801e-09  4.56294181e-01  3.26677718e-09  3.40983294e-09  3.31434912e-09  4.56294181e-01  3.30527081e-09  1.56089528e-07  5.00974906e-08  1.00000000e+00 
 5.16013756e-08  4.56294909e-01  4.56294909e-01  3.26677721e-09  3.40983304e-09  3.31434915e-09  4.56294909e-01  3.30527089e-09  1.56090470e-07  5.16013756e-08  1.00000000e+00 
 5.30487299e-08  3.75374801e-09  3.20501022e-09  4.56294167e-01  3.40983300e-09  3.31434911e-09  4.56294167e-01  3.30527087e-09  1.56089494e-07  5.30487299e-08  1.00000000e+00 
 5.45481313e-08  4.56294900e-01  3.20501026e-09  4.56294900e-01  3.40983303e-09  3.31434915e-09  4.56294900e-01  3.30527089e-09  1.56090483e-07  5.45481313e-08  1.00000000e+00 
 5.60555335e-08  3.75374807e-09  4.56294889e-01  4.56294889e-01  3.40983303e-09  3.31434914e-09  4.56294889e-01  3.30527083e-09  1.56090458e-07  5.60555335e-08  1.00000000e+00 
 5.75712491e-08  4.56295624e-01  4.56295625e-01  4.56295624e-01  3.40983307e-09  3.31434917e-09  4.56295625e-01  3.30527090e-09  1.56091446e-07  5.75712491e-08  1.00000000e+00 
 5.89226801e-08  3.75374801e-09  3.20501022e-09  3.26677713e-09  4.56294181e-01  3.31434911e-09  4.56294181e-01  3.30527087e-09  1.56089512e-07  5.89226801e-08  1.00000000e+00 
 6.04181238e-08  4.56294906e-01  3.20501025e-09  3.26677721e-09  4.56294906e-01  3.31434915e-09  4.56294906e-01  3.30527083e-09  1.56090478e-07  6.04181238e-08  1.00000000e+00 
 6.19261158e-08  3.75374807e-09  4.56294913e-01  3.26677716e-09  4.56294913e-01  3.31434915e-09  4.56294913e-01  3.30527083e-09  1.56090499e-07  6.19261158e-08  1.00000000e+00 
 6.34499742e-08  4.56295640e-01  4.56295640e-01  3.26677718e-09  4.56295640e-01  3.31434917e-09  4.56295640e-01  3.30527085e-09  1.56091459e-07  6.34499742e-08  1.00000000e+00 
 6.48980318e-08  3.75374807e-09  3.20501025e-09  4.56294897e-01  4.56294897e-01  3.31434915e-09  4.56294898e-01  3.30527083e-09  1.56090474e-07  6.48980318e-08  1.00000000e+00 
 6.63989894e-08  4.56295626e-01  3.20501028e-09  4.56295626e-01  4.56295626e-01  3.31434917e-09  4.56295626e-01  3.30527085e-09  1.56091443e-07  6.63989894e-08  1.00000000e+00 
 6.79036845e-08  3.75374812e-09  4.56295636e-01  4.56295636e-01  4.56295636e-01  3.31434917e-09  4.56295636e-01  3.30527085e-09  1.56091468e-07  6.79036845e-08  1.00000000e+00 
 6.94158118e-08  4.56296401e-01  4.56296401e-01  4.56296401e-01  4.56296401e-01  3.31434920e-09  4.56296401e-01  3.30527092e-09  1.56092467e-07  6.94158118e-08  1.00000000e+00 
 7.13944388e-08  3.75374801e-09  3.20501022e-09  3.26677713e-09  3.40983300e-09  4.56294136e-01  4.56294136e-01  3.30527087e-09  1.56089450e-07  7.13944388e-08  1.00000000e+00 
 7.28564231e-08  4.56294893e-01  3.20501025e-09  3.26677721e-09  3.40983298e-09  4.56294893e-01  4.56294893e-01  3.30527083e-09  1.56090457e-07  7.28564231e-08  1.00000000e+00 
 7.43490247e-08  3.75374807e-09  4.56294887e-01  3.26677716e-09  3.40983303e-09  4.56294887e-01  4.56294887e-01  3.30527083e-09  1.56090450e-07  7.43490247e-08  1.00000000e+00 
 7.58559935e-08  4.56295648e-01  4.56295648e-01  3.26677724e-09  3.40983307e-09  4.56295648e-01  4.56295648e-01  3.30527085e-09  1.56091473e-07  7.58559935e-08  1.00000000e+00 
