 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 4.98514083e-08  4.58163190e-01  4.58163190e-01  4.58163190e-01  4.58163190e-01  4.58163190e-01  3.45750587e-09  3.40363661e-09  1.59373493e-07  4.98514083e-08  1.00000000e+00 
 5.05636777e-08  3.32529118e-09  3.40856136e-09  3.64325025e-09  3.27871591e-09  3.40116140e-09  4.58160242e-01  3.40363654e-09  1.59369531e-07  5.05636777e-08  1.00000000e+00 
 5.21839212e-08  4.58160961e-01  3.40856146e-09  3.64325022e-09  3.27871599e-09  3.40116137e-09  4.58160961e-01  3.40363657e-09  1.59370495e-07  5.21839212e-08  1.00000000e+00 
 5.37140892e-08  3.32529119e-09  4.58160948e-01  3.64325021e-09  3.27871599e-09  3.40116137e-09  4.58160948e-01  3.40363657e-09  1.59370467e-07  5.37140892e-08  1.00000000e+00 
 5.53899824e-08  4.58161696e-01  4.58161696e-01  3.64325031e-09  3.27871608e-09  3.40116146e-09  4.58161696e-01  3.40363654e-09  1.59371470e-07  5.53899824e-08  1.00000000e+00 
 5.70389034e-08  3.32529119e-09  3.40856140e-09  4.58160962e-01  3.27871599e-09  3.40116143e-09  4.58160962e-01  3.40363657e-09  1.59370502e-07  5.70389034e-08  1.00000000e+00 
 5.87136171e-08  4.58161691e-01  3.40856146e-09  4.58161691e-01  3.27871608e-09  3.40116141e-09  4.58161691e-01  3.40363660e-09  1.59371465e-07  5.87136171e-08  1.00000000e+00 
 6.02661885e-08  3.32529127e-09  4.58161692e-01  4.58161692e-01  3.27871613e-09  3.40116146e-09  4.58161692e-01  3.40363659e-09  1.59371481e-07  6.02661885e-08  1.00000000e+00 
 6.19568397e-08  4.58162432e-01  4.58162432e-01  4.58162432e-01  3.27871617e-09  3.40116149e-09  4.58162432e-01  3.40363662e-09  1.59372450e-07  6.19568397e-08  1.00000000e+00 
 6.35501678e-08  3.32529119e-09  3.40856141e-09  3.64325027e-09  4.58160975e-01  3.40116143e-09  4.58160975e-01  3.40363657e-09  1.59370512e-07  6.35501678e-08  1.00000000e+00 
 6.52167955e-08  4.58161711e-01  3.40856146e-09  3.64325025e-09  4.58161711e-01  3.40116141e-09  4.58161711e-01  3.40363654e-09  1.59371496e-07  6.52167955e-08  1.00000000e+00 
 6.67680737e-08  3.32529132e-09  4.58161716e-01  3.64325025e-09  4.58161716e-01  3.40116140e-09  4.58161716e-01  3.40363659e-09  1.59371483e-07  6.67680737e-08  1.00000000e+00 
 6.84660719e-08  4.58162466e-01  4.58162466e-01  3.64325029e-09  4.58162466e-01  3.40116149e-09  4.58162466e-01  3.40363657e-09  1.59372502e-07  6.84660719e-08  1.00000000e+00 
 7.01173377e-08  3.32529127e-09  3.40856146e-09  4.58161719e-01  4.58161719e-01  3.40116141e-09  4.58161719e-01  3.40363660e-09  1.59371495e-07  7.01173377e-08  1.00000000e+00 
 7.17930959e-08  4.58162458e-01  3.40856151e-09  4.58162458e-01  4.58162458e-01  3.40116144e-09  4.58162458e-01  3.40363663e-09  1.59372500e-07  7.17930959e-08  1.00000000e+00 
 7.33407006e-08  3.32529141e-09  4.58162461e-01  4.58162461e-01  4.58162461e-01  3.40116149e-09  4.58162461e-01  3.40363663e-09  1.59372514e-07  7.33407006e-08  1.00000000e+00 
