 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.57129143e-07  3.22411975e-09  4.58721030e-01  4.58721030e-01  4.58721030e-01  4.58721030e-01  3.15087969e-09  3.53818681e-09  1.57129143e-07  2.02382182e-07  1.00000000e+00 
 1.57130154e-07  4.58721777e-01  4.58721777e-01  4.58721777e-01  4.58721777e-01  4.58721777e-01  3.15087972e-09  3.53818685e-09  1.57130154e-07  2.09762760e-07  1.00000000e+00 
 1.57126295e-07  3.22411963e-09  3.35532159e-09  3.18245280e-09  3.63888493e-09  3.32237901e-09  4.58718896e-01  3.53818675e-09  1.57126295e-07  2.14921869e-07  1.00000000e+00 
 1.57127251e-07  4.58719614e-01  3.35532161e-09  3.18245286e-09  3.63888502e-09  3.32237910e-09  4.58719614e-01  3.53818682e-09  1.57127251e-07  2.21982191e-07  1.00000000e+00 
 1.57127184e-07  3.22411967e-09  4.58719565e-01  3.18245281e-09  3.63888503e-09  3.32237904e-09  4.58719565e-01  3.53818683e-09  1.57127184e-07  2.28849814e-07  1.00000000e+00 
 1.57128175e-07  4.58720308e-01  4.58720308e-01  3.18245288e-09  3.63888507e-09  3.32237909e-09  4.58720308e-01  3.53818680e-09  1.57128175e-07  2.36168063e-07  1.00000000e+00 
 1.57127295e-07  3.22411967e-09  3.35532162e-09  4.58719631e-01  3.63888498e-09  3.32237910e-09  4.58719630e-01  3.53818683e-09  1.57127295e-07  2.42158137e-07  1.00000000e+00 
 1.57128249e-07  4.58720361e-01  3.35532162e-09  4.58720361e-01  3.63888510e-09  3.32237912e-09  4.58720361e-01  3.53818677e-09  1.57128249e-07  2.49469906e-07  1.00000000e+00 
 1.57128216e-07  3.22411968e-09  4.58720331e-01  4.58720332e-01  3.63888510e-09  3.32237906e-09  4.58720332e-01  3.53818677e-09  1.57128216e-07  2.56439677e-07  1.00000000e+00 
 1.57129172e-07  4.58721041e-01  4.58721041e-01  4.58721041e-01  3.63888519e-09  3.32237909e-09  4.58721041e-01  3.53818684e-09  1.57129172e-07  2.63821818e-07  1.00000000e+00 
 1.57127274e-07  3.22411972e-09  3.35532161e-09  3.18245286e-09  4.58719629e-01  3.32237910e-09  4.58719629e-01  3.53818677e-09  1.57127274e-07  2.68646886e-07  1.00000000e+00 
 1.57128240e-07  4.58720373e-01  3.35532168e-09  3.18245291e-09  4.58720373e-01  3.32237912e-09  4.58720373e-01  3.53818677e-09  1.57128240e-07  2.75929153e-07  1.00000000e+00 
 1.57128244e-07  3.22411976e-09  4.58720354e-01  3.18245286e-09  4.58720354e-01  3.32237913e-09  4.58720354e-01  3.53818684e-09  1.57128244e-07  2.82902931e-07  1.00000000e+00 
 1.57129149e-07  4.58721037e-01  4.58721037e-01  3.18245291e-09  4.58721037e-01  3.32237916e-09  4.58721037e-01  3.53818685e-09  1.57129149e-07  2.90320685e-07  1.00000000e+00 
 1.57128249e-07  3.22411975e-09  3.35532168e-09  4.58720362e-01  4.58720362e-01  3.32237912e-09  4.58720362e-01  3.53818683e-09  1.57128249e-07  2.96314482e-07  1.00000000e+00 
 1.57129203e-07  4.58721081e-01  3.35532164e-09  4.58721081e-01  4.58721081e-01  3.32237915e-09  4.58721081e-01  3.53818678e-09  1.57129203e-07  3.03636540e-07  1.00000000e+00 
 1.57129208e-07  3.22411978e-09  4.58721070e-01  4.58721070e-01  4.58721070e-01  3.32237909e-09  4.58721070e-01  3.53818684e-09  1.57129208e-07  3.10592014e-07  1.00000000e+00 
 1.57130172e-07  4.58721799e-01  4.58721799e-01  4.58721799e-01  4.58721799e-01  3.32237912e-09  4.58721799e-01  3.53818685e-09  1.57130172e-07  3.17947269e-07  1.00000000e+00 
 1.57127249e-07  3.22411971e-09  3.35532161e-09  3.18245285e-09  3.63888501e-09  4.58719613e-01  4.58719613e-01  3.53818676e-09  1.57127249e-07  3.21316037e-07  1.00000000e+00 
 1.57128213e-07  4.58720341e-01  3.35532163e-09  3.18245285e-09  3.63888510e-09  4.58720341e-01  4.58720341e-01  3.53818683e-09  1.57128213e-07  3.28434623e-07  1.00000000e+00 
 1.57128154e-07  3.22411969e-09  4.58720295e-01  3.18245285e-09  3.63888510e-09  4.58720295e-01  4.58720295e-01  3.53818677e-09  1.57128154e-07  3.35335585e-07  1.00000000e+00 
 1.57129137e-07  4.58721017e-01  4.58721017e-01  3.18245296e-09  3.63888519e-09  4.58721017e-01  4.58721017e-01  3.53818684e-09  1.57129137e-07  3.42672706e-07  1.00000000e+00 
 1.57128227e-07  3.22411975e-09  3.35532168e-09  4.58720348e-01  3.63888505e-09  4.58720348e-01  4.58720348e-01  3.53818677e-09  1.57128227e-07  3.48634188e-07  1.00000000e+00 
 1.57129231e-07  4.58721085e-01  3.35532164e-09  4.58721085e-01  3.63888519e-09  4.58721085e-01  4.58721085e-01  3.53818684e-09  1.57129231e-07  3.55968666e-07  1.00000000e+00 
 1.57129162e-07  3.22411972e-09  4.58721038e-01  4.58721038e-01  3.63888518e-09  4.58721038e-01  4.58721038e-01  3.53818684e-09  1.57129162e-07  3.62955888e-07  1.00000000e+00 
 1.57130121e-07  4.58721755e-01  4.58721755e-01  4.58721755e-01  3.63888529e-09  4.58721755e-01  4.58721755e-01  3.53818681e-09  1.57130121e-07  3.70337006e-07  1.00000000e+00 
 1.57128212e-07  3.22411974e-09  3.35532162e-09  3.18245285e-09  4.58720340e-01  4.58720340e-01  4.58720340e-01  3.53818683e-09  1.57128212e-07  3.75105429e-07  1.00000000e+00 
 1.57129212e-07  4.58721082e-01  3.35532166e-09  3.18245292e-09  4.58721081e-01  4.58721082e-01  4.58721081e-01  3.53818680e-09  1.57129212e-07  3.82352596e-07  1.00000000e+00 
 1.57129169e-07  3.22411980e-09  4.58721048e-01  3.18245292e-09  4.58721048e-01  4.58721048e-01  4.58721048e-01  3.53818680e-09  1.57129169e-07  3.89286242e-07  1.00000000e+00 
 1.57130126e-07  4.58721757e-01  4.58721757e-01  3.18245298e-09  4.58721757e-01  4.58721757e-01  4.58721757e-01  3.53818682e-09  1.57130126e-07  3.96662159e-07  1.00000000e+00 
 1.57129229e-07  3.22411972e-09  3.35532170e-09  4.58721097e-01  4.58721097e-01  4.58721097e-01  4.58721097e-01  3.53818684e-09  1.57129229e-07  4.02634555e-07  1.00000000e+00 
 1.57130228e-07  4.58721835e-01  3.35532168e-09  4.58721835e-01  4.58721835e-01  4.58721835e-01  4.58721835e-01  3.53818687e-09  1.57130228e-07  4.09943283e-07  1.00000000e+00 
 1.57130148e-07  3.22411977e-09  4.58721773e-01  4.58721773e-01  4.58721773e-01  4.58721773e-01  4.58721773e-01  3.53818681e-09  1.57130148e-07  4.16889918e-07  1.00000000e+00 
 1.57131116e-07  4.58722492e-01  4.58722492e-01  4.58722492e-01  4.58722492e-01  4.58722492e-01  4.58722492e-01  3.53818687e-09  1.57131116e-07  4.24234912e-07  1.00000000e+00 
 1.57126246e-07  3.22411968e-09  3.35532159e-09  3.18245280e-09  3.63888493e-09  3.32237906e-09  3.15087951e-09  4.58718858e-01  1.57126246e-07  4.16886309e-07  1.00000000e+00 
 1.57127200e-07  4.58719576e-01  3.35532162e-09  3.18245287e-09  3.63888497e-09  3.32237905e-09  3.15087952e-09  4.58719576e-01  1.57127200e-07  4.23809070e-07  1.00000000e+00 
 1.57127156e-07  3.22411966e-09  4.58719539e-01  3.18245286e-09  3.63888497e-09  3.32237905e-09  3.15087952e-09  4.58719538e-01  1.57127156e-07  4.30562409e-07  1.00000000e+00 
 1.57128131e-07  4.58720274e-01  4.58720274e-01  3.18245286e-09  3.63888511e-09  3.32237907e-09  3.15087963e-09  4.58720274e-01  1.57128131e-07  4.37754636e-07  1.00000000e+00 
 1.57127216e-07  3.22411965e-09  3.35532166e-09  4.58719586e-01  3.63888501e-09  3.32237909e-09  3.15087957e-09  4.58719586e-01  1.57127216e-07  4.43700742e-07  1.00000000e+00 
 1.57128150e-07  4.58720290e-01  3.35532162e-09  4.58720290e-01  3.63888509e-09  3.32237912e-09  3.15087961e-09  4.58720289e-01  1.57128150e-07  4.50961323e-07  1.00000000e+00 
 1.57128124e-07  3.22411970e-09  4.58720268e-01  4.58720268e-01  3.63888511e-09  3.32237907e-09  3.15087963e-09  4.58720268e-01  1.57128124e-07  4.57859329e-07  1.00000000e+00 
 1.57129102e-07  4.58720991e-01  4.58720991e-01  4.58720991e-01  3.63888521e-09  3.32237911e-09  3.15087968e-09  4.58720991e-01  1.57129102e-07  4.65164106e-07  1.00000000e+00 
 1.57127222e-07  3.22411967e-09  3.35532162e-09  3.18245287e-09  4.58719592e-01  3.32237911e-09  3.15087952e-09  4.58719592e-01  1.57127222e-07  4.69966636e-07  1.00000000e+00 
 1.57128207e-07  4.58720330e-01  3.35532168e-09  3.18245285e-09  4.58720330e-01  3.32237912e-09  3.15087961e-09  4.58720330e-01  1.57128207e-07  4.77166935e-07  1.00000000e+00 
 1.57128173e-07  3.22411968e-09  4.58720300e-01  3.18245290e-09  4.58720300e-01  3.32237906e-09  3.15087961e-09  4.58720300e-01  1.57128173e-07  4.84078726e-07  1.00000000e+00 
 1.57129144e-07  4.58721026e-01  4.58721026e-01  3.18245291e-09  4.58721026e-01  3.32237915e-09  3.15087967e-09  4.58721026e-01  1.57129144e-07  4.91444666e-07  1.00000000e+00 
 1.57128177e-07  3.22411971e-09  3.35532164e-09  4.58720307e-01  4.58720307e-01  3.32237909e-09  3.15087958e-09  4.58720307e-01  1.57128177e-07  4.97400180e-07  1.00000000e+00 
 1.57129182e-07  4.58721057e-01  3.35532166e-09  4.58721057e-01  4.58721057e-01  3.32237911e-09  3.15087968e-09  4.58721056e-01  1.57129182e-07  5.04696430e-07  1.00000000e+00 
 1.57129121e-07  3.22411978e-09  4.58721011e-01  4.58721011e-01  4.58721011e-01  3.32237915e-09  3.15087966e-09  4.58721011e-01  1.57129121e-07  5.11649404e-07  1.00000000e+00 
 1.57130107e-07  4.58721743e-01  4.58721743e-01  4.58721743e-01  4.58721743e-01  3.32237912e-09  3.15087966e-09  4.58721743e-01  1.57130107e-07  5.19011962e-07  1.00000000e+00 
 1.57127175e-07  3.22411967e-09  3.35532162e-09  3.18245281e-09  3.63888503e-09  4.58719567e-01  3.15087952e-09  4.58719567e-01  1.57127175e-07  5.22448886e-07  1.00000000e+00 
 1.57128177e-07  4.58720316e-01  3.35532162e-09  3.18245290e-09  3.63888510e-09  4.58720316e-01  3.15087961e-09  4.58720316e-01  1.57128177e-07  5.29597003e-07  1.00000000e+00 
 1.57128105e-07  3.22411968e-09  4.58720254e-01  3.18245284e-09  3.63888509e-09  4.58720254e-01  3.15087961e-09  4.58720254e-01  1.57128105e-07  5.36516723e-07  1.00000000e+00 
 1.57129111e-07  4.58721002e-01  4.58721002e-01  3.18245295e-09  3.63888518e-09  4.58721002e-01  3.15087966e-09  4.58721002e-01  1.57129111e-07  5.43857425e-07  1.00000000e+00 
 1.57128188e-07  3.22411970e-09  3.35532164e-09  4.58720315e-01  3.63888511e-09  4.58720315e-01  3.15087963e-09  4.58720315e-01  1.57128188e-07  5.49834880e-07  1.00000000e+00 
 1.57129163e-07  4.58721037e-01  3.35532166e-09  4.58721037e-01  3.63888520e-09  4.58721037e-01  3.15087968e-09  4.58721037e-01  1.57129163e-07  5.57177117e-07  1.00000000e+00 
 1.57129091e-07  3.22411979e-09  4.58720990e-01  4.58720990e-01  3.63888520e-09  4.58720990e-01  3.15087968e-09  4.58720990e-01  1.57129091e-07  5.64153765e-07  1.00000000e+00 
 1.57130075e-07  4.58721723e-01  4.58721723e-01  4.58721723e-01  3.63888529e-09  4.58721723e-01  3.15087972e-09  4.58721723e-01  1.57130075e-07  5.71516182e-07  1.00000000e+00 
 1.57128201e-07  3.22411970e-09  3.35532164e-09  3.18245292e-09  4.58720332e-01  4.58720332e-01  3.15087957e-09  4.58720332e-01  1.57128201e-07  5.76260447e-07  1.00000000e+00 
 1.57129198e-07  4.58721062e-01  3.35532171e-09  3.18245291e-09  4.58721062e-01  4.58721062e-01  3.15087961e-09  4.58721062e-01  1.57129198e-07  5.83481665e-07  1.00000000e+00 
 1.57129110e-07  3.22411979e-09  4.58721007e-01  3.18245291e-09  4.58721007e-01  4.58721007e-01  3.15087962e-09  4.58721007e-01  1.57129110e-07  5.90376942e-07  1.00000000e+00 
 1.57130023e-07  4.58721691e-01  4.58721691e-01  3.18245295e-09  4.58721691e-01  4.58721691e-01  3.15087971e-09  4.58721691e-01  1.57130023e-07  5.97719378e-07  1.00000000e+00 
 1.57129184e-07  3.22411980e-09  3.35532166e-09  4.58721055e-01  4.58721055e-01  4.58721055e-01  3.15087969e-09  4.58721054e-01  1.57129184e-07  6.03662983e-07  1.00000000e+00 
 1.57130155e-07  4.58721778e-01  3.35532166e-09  4.58721779e-01  4.58721778e-01  4.58721778e-01  3.15087972e-09  4.58721778e-01  1.57130155e-07  6.10948717e-07  1.00000000e+00 
