 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.12321175e-09  3.16493897e-09  3.19291617e-09  3.30399663e-09  3.14950001e-09  3.39031102e-09  3.48011223e-09  3.60484191e-09  1.60816737e-07  1.12321175e-09  1.00000000e+00 
 1.79870341e-09  4.58804258e-01  3.19291616e-09  3.30399673e-09  3.14950004e-09  3.39031104e-09  3.48011226e-09  3.60484201e-09  1.60817707e-07  1.79870341e-09  1.00000000e+00 
 2.98691560e-09  3.16493900e-09  4.58804256e-01  3.30399667e-09  3.14949998e-09  3.39031104e-09  3.48011226e-09  3.60484201e-09  1.60817705e-07  2.98691560e-09  1.00000000e+00 
 4.64324756e-09  4.58804978e-01  4.58804978e-01  3.30399670e-09  3.14950001e-09  3.39031107e-09  3.48011230e-09  3.60484211e-09  1.60818676e-07  4.64324756e-09  1.00000000e+00 
 6.08643091e-09  3.16493900e-09  3.19291622e-09  4.58804248e-01  3.14949998e-09  3.39031104e-09  3.48011226e-09  3.60484201e-09  1.60817698e-07  6.08643091e-09  1.00000000e+00 
 7.81008680e-09  4.58804970e-01  3.19291627e-09  4.58804970e-01  3.14950001e-09  3.39031106e-09  3.48011230e-09  3.60484211e-09  1.60818672e-07  7.81008680e-09  1.00000000e+00 
 9.40416101e-09  3.16493909e-09  4.58804993e-01  4.58804993e-01  3.14950007e-09  3.39031107e-09  3.48011236e-09  3.60484211e-09  1.60818703e-07  9.40416101e-09  1.00000000e+00 
 1.11295222e-08  4.58805674e-01  4.58805674e-01  4.58805674e-01  3.14950010e-09  3.39031109e-09  3.48011234e-09  3.60484222e-09  1.60819620e-07  1.11295222e-08  1.00000000e+00 
 1.23317250e-08  3.16493905e-09  3.19291622e-09  3.30399673e-09  4.58804250e-01  3.39031104e-09  3.48011226e-09  3.60484201e-09  1.60817698e-07  1.23317250e-08  1.00000000e+00 
 1.40334748e-08  4.58804953e-01  3.19291621e-09  3.30399670e-09  4.58804953e-01  3.39031106e-09  3.48011235e-09  3.60484211e-09  1.60818644e-07  1.40334748e-08  1.00000000e+00 
 1.56237689e-08  3.16493909e-09  4.58804966e-01  3.30399670e-09  4.58804966e-01  3.39031106e-09  3.48011235e-09  3.60484211e-09  1.60818654e-07  1.56237689e-08  1.00000000e+00 
 1.73498123e-08  4.58805653e-01  4.58805653e-01  3.30399680e-09  4.58805653e-01  3.39031109e-09  3.48011234e-09  3.60484222e-09  1.60819593e-07  1.73498123e-08  1.00000000e+00 
 1.87643323e-08  3.16493909e-09  3.19291621e-09  4.58804926e-01  4.58804926e-01  3.39031106e-09  3.48011235e-09  3.60484210e-09  1.60818609e-07  1.87643323e-08  1.00000000e+00 
 2.04698907e-08  4.58805673e-01  3.19291633e-09  4.58805673e-01  4.58805673e-01  3.39031109e-09  3.48011240e-09  3.60484222e-09  1.60819623e-07  2.04698907e-08  1.00000000e+00 
 2.20587140e-08  3.16493907e-09  4.58805676e-01  4.58805676e-01  4.58805676e-01  3.39031109e-09  3.48011234e-09  3.60484222e-09  1.60819618e-07  2.20587140e-08  1.00000000e+00 
 2.37780498e-08  4.58806381e-01  4.58806381e-01  4.58806381e-01  4.58806381e-01  3.39031111e-09  3.48011237e-09  3.60484232e-09  1.60820569e-07  2.37780498e-08  1.00000000e+00 
 2.55705004e-08  3.16493900e-09  3.19291616e-09  3.30399673e-09  3.14950004e-09  4.58804264e-01  3.48011226e-09  3.60484201e-09  1.60817729e-07  2.55705004e-08  1.00000000e+00 
 2.72396861e-08  4.58804987e-01  3.19291621e-09  3.30399676e-09  3.14950007e-09  4.58804987e-01  3.48011235e-09  3.60484211e-09  1.60818688e-07  2.72396861e-08  1.00000000e+00 
 2.88137727e-08  3.16493909e-09  4.58804959e-01  3.30399670e-09  3.14950007e-09  4.58804959e-01  3.48011235e-09  3.60484211e-09  1.60818650e-07  2.88137727e-08  1.00000000e+00 
 3.05268841e-08  4.58805669e-01  4.58805669e-01  3.30399675e-09  3.14950010e-09  4.58805669e-01  3.48011234e-09  3.60484222e-09  1.60819618e-07  3.05268841e-08  1.00000000e+00 
 3.19472022e-08  3.16493909e-09  3.19291621e-09  4.58804948e-01  3.14950007e-09  4.58804948e-01  3.48011235e-09  3.60484211e-09  1.60818645e-07  3.19472022e-08  1.00000000e+00 
