 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.06629017e-09  3.27263498e-09  3.45161211e-09  3.16863396e-09  3.25710815e-09  3.34207770e-09  3.34767041e-09  3.57596338e-09  1.58260691e-07  1.06629017e-09  1.00000000e+00 
 1.71694126e-09  4.58335995e-01  3.45161222e-09  3.16863398e-09  3.25710819e-09  3.34207767e-09  3.34767044e-09  3.57596342e-09  1.58261714e-07  1.71694126e-09  1.00000000e+00 
 2.76565260e-09  3.27263505e-09  4.58335984e-01  3.16863398e-09  3.25710814e-09  3.34207767e-09  3.34767044e-09  3.57596347e-09  1.58261691e-07  2.76565260e-09  1.00000000e+00 
 4.41179537e-09  4.58336732e-01  4.58336731e-01  3.16863405e-09  3.25710818e-09  3.34207775e-09  3.34767048e-09  3.57596351e-09  1.58262714e-07  4.41179537e-09  1.00000000e+00 
 6.02609873e-09  3.27263505e-09  3.45161227e-09  4.58335982e-01  3.25710814e-09  3.34207767e-09  3.34767044e-09  3.57596342e-09  1.58261700e-07  6.02609873e-09  1.00000000e+00 
 7.75114017e-09  4.58336720e-01  3.45161233e-09  4.58336720e-01  3.25710823e-09  3.34207769e-09  3.34767047e-09  3.57596345e-09  1.58262690e-07  7.75114017e-09  1.00000000e+00 
 9.20006471e-09  3.27263513e-09  4.58336722e-01  4.58336722e-01  3.25710823e-09  3.34207769e-09  3.34767047e-09  3.57596345e-09  1.58262691e-07  9.20006471e-09  1.00000000e+00 
 1.09246088e-08  4.58337506e-01  4.58337506e-01  4.58337506e-01  3.25710829e-09  3.34207773e-09  3.34767051e-09  3.57596350e-09  1.58263760e-07  1.09246088e-08  1.00000000e+00 
 1.22043033e-08  3.27263505e-09  3.45161227e-09  3.16863397e-09  4.58335940e-01  3.34207766e-09  3.34767044e-09  3.57596341e-09  1.58261648e-07  1.22043033e-08  1.00000000e+00 
 1.39014418e-08  4.58336712e-01  3.45161233e-09  3.16863404e-09  4.58336712e-01  3.34207769e-09  3.34767047e-09  3.57596345e-09  1.58262687e-07  1.39014418e-08  1.00000000e+00 
 1.53434243e-08  3.27263513e-09  4.58336706e-01  3.16863404e-09  4.58336706e-01  3.34207769e-09  3.34767047e-09  3.57596345e-09  1.58262677e-07  1.53434243e-08  1.00000000e+00 
 1.70655312e-08  4.58337476e-01  4.58337476e-01  3.16863413e-09  4.58337476e-01  3.34207773e-09  3.34767046e-09  3.57596350e-09  1.58263711e-07  1.70655312e-08  1.00000000e+00 
 1.86396178e-08  3.27263518e-09  3.45161233e-09  4.58336689e-01  4.58336688e-01  3.34207769e-09  3.34767047e-09  3.57596345e-09  1.58262635e-07  1.86396178e-08  1.00000000e+00 
 2.03391437e-08  4.58337464e-01  3.45161245e-09  4.58337464e-01  4.58337464e-01  3.34207773e-09  3.34767051e-09  3.57596350e-09  1.58263694e-07  2.03391437e-08  1.00000000e+00 
 2.17786607e-08  3.27263520e-09  4.58337436e-01  4.58337436e-01  4.58337436e-01  3.34207772e-09  3.34767051e-09  3.57596349e-09  1.58263650e-07  2.17786607e-08  1.00000000e+00 
 2.34938611e-08  4.58338225e-01  4.58338225e-01  4.58338225e-01  4.58338225e-01  3.34207775e-09  3.34767054e-09  3.57596359e-09  1.58264718e-07  2.34938611e-08  1.00000000e+00 
 2.44301290e-08  3.27263505e-09  3.45161221e-09  3.16863397e-09  3.25710819e-09  4.58335961e-01  3.34767044e-09  3.57596347e-09  1.58261683e-07  2.44301290e-08  1.00000000e+00 
 2.60986610e-08  4.58336696e-01  3.45161233e-09  3.16863404e-09  3.25710823e-09  4.58336696e-01  3.34767047e-09  3.57596345e-09  1.58262662e-07  2.60986610e-08  1.00000000e+00 
 2.75285430e-08  3.27263513e-09  4.58336702e-01  3.16863404e-09  3.25710823e-09  4.58336702e-01  3.34767047e-09  3.57596345e-09  1.58262676e-07  2.75285430e-08  1.00000000e+00 
 2.92378317e-08  4.58337463e-01  4.58337463e-01  3.16863412e-09  3.25710823e-09  4.58337463e-01  3.34767051e-09  3.57596350e-09  1.58263696e-07  2.92378317e-08  1.00000000e+00 
 3.08194359e-08  3.27263513e-09  3.45161234e-09  4.58336734e-01  3.25710823e-09  4.58336734e-01  3.34767048e-09  3.57596345e-09  1.58262712e-07  3.08194359e-08  1.00000000e+00 
 3.25239427e-08  4.58337464e-01  3.45161245e-09  4.58337464e-01  3.25710829e-09  4.58337464e-01  3.34767051e-09  3.57596350e-09  1.58263708e-07  3.25239427e-08  1.00000000e+00 
 3.39613351e-08  3.27263525e-09  4.58337453e-01  4.58337454e-01  3.25710822e-09  4.58337454e-01  3.34767051e-09  3.57596349e-09  1.58263691e-07  3.39613351e-08  1.00000000e+00 
 3.56688048e-08  4.58338167e-01  4.58338167e-01  4.58338167e-01  3.25710827e-09  4.58338167e-01  3.34767054e-09  3.57596359e-09  1.58264637e-07  3.56688048e-08  1.00000000e+00 
 3.69014899e-08  3.27263512e-09  3.45161233e-09  3.16863404e-09  4.58336676e-01  4.58336677e-01  3.34767047e-09  3.57596345e-09  1.58262628e-07  3.69014899e-08  1.00000000e+00 
 3.85850214e-08  4.58337415e-01  3.45161249e-09  3.16863411e-09  4.58337415e-01  4.58337415e-01  3.34767050e-09  3.57596349e-09  1.58263633e-07  3.85850214e-08  1.00000000e+00 
 4.00152089e-08  3.27263520e-09  4.58337417e-01  3.16863412e-09  4.58337417e-01  4.58337418e-01  3.34767051e-09  3.57596349e-09  1.58263641e-07  4.00152089e-08  1.00000000e+00 
 4.17336210e-08  4.58338170e-01  4.58338170e-01  3.16863419e-09  4.58338170e-01  4.58338170e-01  3.34767049e-09  3.57596353e-09  1.58264624e-07  4.17336210e-08  1.00000000e+00 
 4.33074590e-08  3.27263520e-09  3.45161250e-09  4.58337404e-01  4.58337404e-01  4.58337404e-01  3.34767051e-09  3.57596349e-09  1.58263601e-07  4.33074590e-08  1.00000000e+00 
 4.50075675e-08  4.58338166e-01  3.45161262e-09  4.58338166e-01  4.58338166e-01  4.58338166e-01  3.34767054e-09  3.57596353e-09  1.58264624e-07  4.50075675e-08  1.00000000e+00 
 4.64428496e-08  3.27263527e-09  4.58338166e-01  4.58338166e-01  4.58338166e-01  4.58338166e-01  3.34767054e-09  3.57596353e-09  1.58264641e-07  4.64428496e-08  1.00000000e+00 
 4.81541207e-08  4.58338895e-01  4.58338895e-01  4.58338895e-01  4.58338895e-01  4.58338895e-01  3.34767059e-09  3.57596353e-09  1.58265588e-07  4.81541207e-08  1.00000000e+00 
 4.63396646e-08  3.27263505e-09  3.45161222e-09  3.16863397e-09  3.25710819e-09  3.34207766e-09  4.58335966e-01  3.57596347e-09  1.58261664e-07  4.63396646e-08  1.00000000e+00 
 4.79725983e-08  4.58336720e-01  3.45161233e-09  3.16863405e-09  3.25710818e-09  3.34207769e-09  4.58336720e-01  3.57596345e-09  1.58262688e-07  4.79725983e-08  1.00000000e+00 
 4.93836154e-08  3.27263512e-09  4.58336713e-01  3.16863405e-09  3.25710818e-09  3.34207769e-09  4.58336713e-01  3.57596345e-09  1.58262682e-07  4.93836154e-08  1.00000000e+00 
 5.10736911e-08  4.58337480e-01  4.58337480e-01  3.16863413e-09  3.25710823e-09  3.34207773e-09  4.58337480e-01  3.57596350e-09  1.58263730e-07  5.10736911e-08  1.00000000e+00 
 5.26400541e-08  3.27263512e-09  3.45161234e-09  4.58336740e-01  3.25710818e-09  3.34207769e-09  4.58336739e-01  3.57596345e-09  1.58262738e-07  5.26400541e-08  1.00000000e+00 
 5.43315721e-08  4.58337468e-01  3.45161245e-09  4.58337468e-01  3.25710823e-09  3.34207773e-09  4.58337468e-01  3.57596350e-09  1.58263700e-07  5.43315721e-08  1.00000000e+00 
 5.57627828e-08  3.27263521e-09  4.58337488e-01  4.58337489e-01  3.25710823e-09  3.34207772e-09  4.58337488e-01  3.57596350e-09  1.58263732e-07  5.57627828e-08  1.00000000e+00 
 5.74710484e-08  4.58338205e-01  4.58338205e-01  4.58338205e-01  3.25710833e-09  3.34207774e-09  4.58338205e-01  3.57596352e-09  1.58264680e-07  5.74710484e-08  1.00000000e+00 
 5.87152371e-08  3.27263518e-09  3.45161233e-09  3.16863404e-09  4.58336705e-01  3.34207769e-09  4.58336706e-01  3.57596345e-09  1.58262677e-07  5.87152371e-08  1.00000000e+00 
 6.04035577e-08  4.58337458e-01  3.45161245e-09  3.16863413e-09  4.58337458e-01  3.34207772e-09  4.58337458e-01  3.57596350e-09  1.58263686e-07  6.04035577e-08  1.00000000e+00 
 6.18357205e-08  3.27263520e-09  4.58337442e-01  3.16863412e-09  4.58337442e-01  3.34207772e-09  4.58337442e-01  3.57596349e-09  1.58263670e-07  6.18357205e-08  1.00000000e+00 
 6.35527684e-08  4.58338184e-01  4.58338184e-01  3.16863419e-09  4.58338184e-01  3.34207774e-09  4.58338184e-01  3.57596352e-09  1.58264664e-07  6.35527684e-08  1.00000000e+00 
 6.51206804e-08  3.27263520e-09  3.45161251e-09  4.58337458e-01  4.58337458e-01  3.34207772e-09  4.58337458e-01  3.57596350e-09  1.58263708e-07  6.51206804e-08  1.00000000e+00 
 6.68113103e-08  4.58338175e-01  3.45161256e-09  4.58338175e-01  4.58338175e-01  3.34207774e-09  4.58338175e-01  3.57596353e-09  1.58264640e-07  6.68113103e-08  1.00000000e+00 
 6.82394727e-08  3.27263533e-09  4.58338175e-01  4.58338176e-01  4.58338175e-01  3.34207774e-09  4.58338175e-01  3.57596358e-09  1.58264643e-07  6.82394727e-08  1.00000000e+00 
 6.99429350e-08  4.58338918e-01  4.58338917e-01  4.58338918e-01  4.58338918e-01  3.34207780e-09  4.58338918e-01  3.57596358e-09  1.58265648e-07  6.99429350e-08  1.00000000e+00 
 7.07826260e-08  3.27263518e-09  3.45161233e-09  3.16863404e-09  3.25710823e-09  4.58336699e-01  4.58336699e-01  3.57596345e-09  1.58262666e-07  7.07826260e-08  1.00000000e+00 
 7.24343820e-08  4.58337473e-01  3.45161245e-09  3.16863412e-09  3.25710823e-09  4.58337473e-01  4.58337473e-01  3.57596350e-09  1.58263717e-07  7.24343820e-08  1.00000000e+00 
 7.38543662e-08  3.27263520e-09  4.58337439e-01  3.16863413e-09  3.25710828e-09  4.58337440e-01  4.58337440e-01  3.57596349e-09  1.58263661e-07  7.38543662e-08  1.00000000e+00 
 7.55540626e-08  4.58338188e-01  4.58338188e-01  3.16863419e-09  3.25710833e-09  4.58338188e-01  4.58338188e-01  3.57596358e-09  1.58264657e-07  7.55540626e-08  1.00000000e+00 
