 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.02942010e-09  3.20481671e-09  3.47766161e-09  3.35345337e-09  3.00737823e-09  3.46569167e-09  3.23811722e-09  3.31893746e-09  1.59662829e-07  1.02942010e-09  1.00000000e+00 
 1.66875935e-09  4.59199285e-01  3.47766168e-09  3.35345343e-09  3.00737829e-09  3.46569172e-09  3.23811728e-09  3.31893751e-09  1.59663796e-07  1.66875935e-09  1.00000000e+00 
 2.59564104e-09  3.20481675e-09  4.59199291e-01  3.35345343e-09  3.00737829e-09  3.46569172e-09  3.23811728e-09  3.31893751e-09  1.59663798e-07  2.59564104e-09  1.00000000e+00 
 4.19851887e-09  4.59200013e-01  4.59200013e-01  3.35345347e-09  3.00737834e-09  3.46569177e-09  3.23811740e-09  3.31893756e-09  1.59664783e-07  4.19851887e-09  1.00000000e+00 
 5.97540151e-09  3.20481675e-09  3.47766168e-09  4.59199251e-01  3.00737834e-09  3.46569166e-09  3.23811734e-09  3.31893751e-09  1.59663754e-07  5.97540151e-09  1.00000000e+00 
 7.67282415e-09  4.59199947e-01  3.47766180e-09  4.59199947e-01  3.00737833e-09  3.46569171e-09  3.23811734e-09  3.31893756e-09  1.59664693e-07  7.67282415e-09  1.00000000e+00 
 8.97267682e-09  3.20481678e-09  4.59200020e-01  4.59200020e-01  3.00737839e-09  3.46569177e-09  3.23811740e-09  3.31893756e-09  1.59664813e-07  8.97267682e-09  1.00000000e+00 
 1.06673426e-08  4.59200710e-01  4.59200710e-01  4.59200710e-01  3.00737845e-09  3.46569183e-09  3.23811746e-09  3.31893761e-09  1.59665729e-07  1.06673426e-08  1.00000000e+00 
 1.26359367e-08  3.20481675e-09  3.47766168e-09  3.35345342e-09  4.59199275e-01  3.46569172e-09  3.23811734e-09  3.31893751e-09  1.59663792e-07  1.26359367e-08  1.00000000e+00 
 1.42995518e-08  4.59199993e-01  3.47766181e-09  3.35345347e-09  4.59199993e-01  3.46569177e-09  3.23811740e-09  3.31893756e-09  1.59664762e-07  1.42995518e-08  1.00000000e+00 
 1.55903876e-08  3.20481678e-09  4.59200045e-01  3.35345348e-09  4.59200044e-01  3.46569178e-09  3.23811740e-09  3.31893756e-09  1.59664842e-07  1.55903876e-08  1.00000000e+00 
 1.72822539e-08  4.59200724e-01  4.59200724e-01  3.35345353e-09  4.59200724e-01  3.46569183e-09  3.23811746e-09  3.31893762e-09  1.59665737e-07  1.72822539e-08  1.00000000e+00 
 1.90246325e-08  3.20481678e-09  3.47766181e-09  4.59199986e-01  4.59199986e-01  3.46569177e-09  3.23811740e-09  3.31893756e-09  1.59664746e-07  1.90246325e-08  1.00000000e+00 
 2.06993249e-08  4.59200671e-01  3.47766183e-09  4.59200671e-01  4.59200671e-01  3.46569183e-09  3.23811740e-09  3.31893761e-09  1.59665671e-07  2.06993249e-08  1.00000000e+00 
 2.19916387e-08  3.20481682e-09  4.59200725e-01  4.59200725e-01  4.59200725e-01  3.46569183e-09  3.23811741e-09  3.31893762e-09  1.59665738e-07  2.19916387e-08  1.00000000e+00 
 2.36813236e-08  4.59201442e-01  4.59201442e-01  4.59201442e-01  4.59201442e-01  3.46569189e-09  3.23811752e-09  3.31893766e-09  1.59666704e-07  2.36813236e-08  1.00000000e+00 
