 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.60433510e-10  3.27773851e-09  3.47729625e-09  3.30142395e-09  3.34780089e-09  3.22466027e-09  3.34750701e-09  3.43086504e-09  1.59115271e-07  9.60433510e-10  1.00000000e+00 
 1.54142299e-09  4.59228761e-01  3.47729628e-09  3.30142399e-09  3.34780086e-09  3.22466036e-09  3.34750713e-09  3.43086516e-09  1.59116212e-07  1.54142299e-09  1.00000000e+00 
 2.70033240e-09  3.27773856e-09  4.59228773e-01  3.30142400e-09  3.34780092e-09  3.22466030e-09  3.34750713e-09  3.43086511e-09  1.59116215e-07  2.70033240e-09  1.00000000e+00 
 4.27630908e-09  4.59229457e-01  4.59229457e-01  3.30142403e-09  3.34780088e-09  3.22466033e-09  3.34750718e-09  3.43086523e-09  1.59117124e-07  4.27630908e-09  1.00000000e+00 
 5.75303005e-09  3.27773856e-09  3.47729628e-09  4.59228776e-01  3.34780086e-09  3.22466030e-09  3.34750707e-09  3.43086511e-09  1.59116228e-07  5.75303005e-09  1.00000000e+00 
 7.39952100e-09  4.59229464e-01  3.47729631e-09  4.59229464e-01  3.34780088e-09  3.22466034e-09  3.34750713e-09  3.43086524e-09  1.59117139e-07  7.39952100e-09  1.00000000e+00 
 9.01729891e-09  3.27773860e-09  4.59229480e-01  4.59229480e-01  3.34780088e-09  3.22466034e-09  3.34750713e-09  3.43086524e-09  1.59117164e-07  9.01729891e-09  1.00000000e+00 
 1.06625464e-08  4.59230204e-01  4.59230204e-01  4.59230204e-01  3.34780097e-09  3.22466038e-09  3.34750720e-09  3.43086526e-09  1.59118133e-07  1.06625464e-08  1.00000000e+00 
 1.22518102e-08  3.27773856e-09  3.47729622e-09  3.30142400e-09  4.59228770e-01  3.22466030e-09  3.34750707e-09  3.43086517e-09  1.59116218e-07  1.22518102e-08  1.00000000e+00 
 1.38718192e-08  4.59229482e-01  3.47729631e-09  3.30142404e-09  4.59229482e-01  3.22466034e-09  3.34750713e-09  3.43086524e-09  1.59117165e-07  1.38718192e-08  1.00000000e+00 
 1.54844813e-08  3.27773859e-09  4.59229461e-01  3.30142403e-09  4.59229461e-01  3.22466033e-09  3.34750713e-09  3.43086523e-09  1.59117141e-07  1.54844813e-08  1.00000000e+00 
