 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.10882326e-09  3.39437040e-09  3.35138194e-09  3.39605810e-09  3.57130431e-09  3.21913079e-09  3.22688887e-09  3.28233151e-09  1.65654321e-07  1.10882326e-09  1.00000000e+00 
 1.79473858e-09  4.61501325e-01  3.35138194e-09  3.39605807e-09  3.57130436e-09  3.21913080e-09  3.22688891e-09  3.28233160e-09  1.65655281e-07  1.79473858e-09  1.00000000e+00 
 3.05049497e-09  3.39437043e-09  4.61501316e-01  3.39605813e-09  3.57130441e-09  3.21913074e-09  3.22688891e-09  3.28233154e-09  1.65655275e-07  3.05049497e-09  1.00000000e+00 
 4.80648055e-09  4.61502019e-01  4.61502019e-01  3.39605811e-09  3.57130441e-09  3.21913076e-09  3.22688897e-09  3.28233164e-09  1.65656217e-07  4.80648055e-09  1.00000000e+00 
 6.54503651e-09  3.39437043e-09  3.35138199e-09  4.61501307e-01  3.57130436e-09  3.21913080e-09  3.22688891e-09  3.28233154e-09  1.65655245e-07  6.54503651e-09  1.00000000e+00 
 8.37079028e-09  4.61501995e-01  3.35138199e-09  4.61501995e-01  3.57130440e-09  3.21913076e-09  3.22688897e-09  3.28233158e-09  1.65656189e-07  8.37079028e-09  1.00000000e+00 
 1.00693427e-08  3.39437046e-09  4.61501996e-01  4.61501996e-01  3.57130441e-09  3.21913076e-09  3.22688897e-09  3.28233158e-09  1.65656179e-07  1.00693427e-08  1.00000000e+00 
 1.18934267e-08  4.61502669e-01  4.61502670e-01  4.61502669e-01  3.57130451e-09  3.21913077e-09  3.22688901e-09  3.28233167e-09  1.65657104e-07  1.18934267e-08  1.00000000e+00 
 1.33179228e-08  3.39437043e-09  3.35138200e-09  3.39605812e-09  4.61501347e-01  3.21913074e-09  3.22688891e-09  3.28233154e-09  1.65655298e-07  1.33179228e-08  1.00000000e+00 
 1.51073252e-08  4.61502019e-01  3.35138199e-09  3.39605816e-09  4.61502020e-01  3.21913076e-09  3.22688897e-09  3.28233164e-09  1.65656217e-07  1.51073252e-08  1.00000000e+00 
 1.67967045e-08  3.39437046e-09  4.61502019e-01  3.39605816e-09  4.61502019e-01  3.21913076e-09  3.22688897e-09  3.28233158e-09  1.65656213e-07  1.67967045e-08  1.00000000e+00 
 1.86165749e-08  4.61502693e-01  4.61502693e-01  3.39605819e-09  4.61502693e-01  3.21913077e-09  3.22688901e-09  3.28233167e-09  1.65657145e-07  1.86165749e-08  1.00000000e+00 
 2.03170458e-08  3.39437046e-09  3.35138199e-09  4.61501983e-01  4.61501983e-01  3.21913076e-09  3.22688902e-09  3.28233164e-09  1.65656160e-07  2.03170458e-08  1.00000000e+00 
 2.21174474e-08  4.61502670e-01  3.35138204e-09  4.61502670e-01  4.61502670e-01  3.21913077e-09  3.22688907e-09  3.28233161e-09  1.65657112e-07  2.21174474e-08  1.00000000e+00 
 2.38048727e-08  3.39437048e-09  4.61502681e-01  4.61502681e-01  4.61502681e-01  3.21913077e-09  3.22688901e-09  3.28233167e-09  1.65657123e-07  2.38048727e-08  1.00000000e+00 
 2.56177017e-08  4.61503378e-01  4.61503378e-01  4.61503378e-01  4.61503378e-01  3.21913078e-09  3.22688906e-09  3.28233165e-09  1.65658062e-07  2.56177017e-08  1.00000000e+00 
 2.47913263e-08  3.39437042e-09  3.35138194e-09  3.39605807e-09  3.57130435e-09  4.61501299e-01  3.22688891e-09  3.28233159e-09  1.65655228e-07  2.47913263e-08  1.00000000e+00 
