 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.99477834e-10  3.25345257e-09  3.66367279e-09  3.29249814e-09  3.41594492e-09  3.36122181e-09  3.31377899e-09  3.38452263e-09  1.55063995e-07  9.99477834e-10  1.00000000e+00 
 1.54638258e-09  4.56954144e-01  3.66367278e-09  3.29249819e-09  3.41594490e-09  3.36122187e-09  3.31377902e-09  3.38452272e-09  1.55064975e-07  1.54638258e-09  1.00000000e+00 
 2.81006152e-09  3.25345265e-09  4.56954164e-01  3.29249819e-09  3.41594496e-09  3.36122188e-09  3.31377903e-09  3.38452272e-09  1.55065024e-07  2.81006152e-09  1.00000000e+00 
 4.28268976e-09  4.56954876e-01  4.56954876e-01  3.29249825e-09  3.41594494e-09  3.36122193e-09  3.31377905e-09  3.38452280e-09  1.55065963e-07  4.28268976e-09  1.00000000e+00 
 5.52882540e-09  3.25345265e-09  3.66367284e-09  4.56954137e-01  3.41594496e-09  3.36122187e-09  3.31377902e-09  3.38452271e-09  1.55064978e-07  5.52882540e-09  1.00000000e+00 
 7.06165793e-09  4.56954864e-01  3.66367288e-09  4.56954864e-01  3.41594499e-09  3.36122198e-09  3.31377906e-09  3.38452280e-09  1.55065930e-07  7.06165793e-09  1.00000000e+00 
 8.81644979e-09  3.25345267e-09  4.56954908e-01  4.56954908e-01  3.41594499e-09  3.36122199e-09  3.31377906e-09  3.38452280e-09  1.55066004e-07  8.81644979e-09  1.00000000e+00 
 1.03471081e-08  4.56955644e-01  4.56955644e-01  4.56955644e-01  3.41594498e-09  3.36122205e-09  3.31377910e-09  3.38452288e-09  1.55066996e-07  1.03471081e-08  1.00000000e+00 
 1.16304406e-08  3.25345265e-09  3.66367284e-09  3.29249819e-09  4.56954142e-01  3.36122187e-09  3.31377908e-09  3.38452272e-09  1.55064989e-07  1.16304406e-08  1.00000000e+00 
 1.31388092e-08  4.56954883e-01  3.66367288e-09  3.29249825e-09  4.56954883e-01  3.36122199e-09  3.31377906e-09  3.38452280e-09  1.55065975e-07  1.31388092e-08  1.00000000e+00 
