 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.57848986e-07  3.52350744e-09  4.50296123e-01  4.50296123e-01  4.50296123e-01  4.50296123e-01  3.45527848e-09  3.40396763e-09  1.57848986e-07  4.42653771e-08  1.00000000e+00 
 1.57850046e-07  4.50296901e-01  4.50296901e-01  4.50296901e-01  4.50296901e-01  4.50296901e-01  3.45527850e-09  3.40396768e-09  1.57850046e-07  4.58410909e-08  1.00000000e+00 
 1.57846077e-07  3.52350734e-09  3.30163066e-09  3.22304038e-09  3.29632546e-09  3.52483565e-09  4.50293949e-01  3.40396751e-09  1.57846077e-07  4.55206219e-08  1.00000000e+00 
 1.57846991e-07  4.50294648e-01  3.30163070e-09  3.22304046e-09  3.29632551e-09  3.52483573e-09  4.50294648e-01  3.40396755e-09  1.57846991e-07  4.70122075e-08  1.00000000e+00 
 1.57847074e-07  3.52350737e-09  4.50294722e-01  3.22304046e-09  3.29632551e-09  3.52483574e-09  4.50294722e-01  3.40396756e-09  1.57847074e-07  4.84529465e-08  1.00000000e+00 
 1.57848030e-07  4.50295423e-01  4.50295423e-01  3.22304043e-09  3.29632557e-09  3.52483583e-09  4.50295423e-01  3.40396759e-09  1.57848030e-07  5.00063351e-08  1.00000000e+00 
 1.57847021e-07  3.52350737e-09  3.30163070e-09  4.50294672e-01  3.29632551e-09  3.52483573e-09  4.50294672e-01  3.40396755e-09  1.57847021e-07  5.14994127e-08  1.00000000e+00 
 1.57847984e-07  4.50295394e-01  3.30163074e-09  4.50295394e-01  3.29632556e-09  3.52483582e-09  4.50295394e-01  3.40396759e-09  1.57847984e-07  5.30513518e-08  1.00000000e+00 
 1.57848080e-07  3.52350740e-09  4.50295424e-01  4.50295424e-01  3.29632557e-09  3.52483583e-09  4.50295424e-01  3.40396759e-09  1.57848080e-07  5.45170593e-08  1.00000000e+00 
 1.57848961e-07  4.50296124e-01  4.50296124e-01  4.50296124e-01  3.29632562e-09  3.52483590e-09  4.50296124e-01  3.40396763e-09  1.57848961e-07  5.60881830e-08  1.00000000e+00 
