 b0              v(Vb0)          v(Vb1)          v(Vb2)          i(Vbias)        i(viout)        v(vbout)       
 3.23859976e-09  4.70979591e-01  4.64122131e-01  4.69134966e-01  7.39448672e-07  7.33324512e-12  1.24438666e-01 
 5.82493459e-01  1.21083363e-01  1.45108707e-01  1.68279809e-01  7.39449456e-07  9.31524102e-08  4.66995235e-01 
 3.23859977e-09  1.42152028e-01  1.16454118e-01  1.40771717e-01  7.39449459e-07  2.11572813e-07  5.00106674e-01 
 5.82493597e-01  1.05887449e-01  1.03756343e-01  1.28758438e-01  7.39450249e-07  2.99396806e-07  5.14511055e-01 
 3.23859977e-09  1.67689766e-01  1.42971323e-01  1.18379325e-01  7.39449441e-07  4.02134102e-07  5.26951719e-01 
 5.82493592e-01  1.13187853e-01  1.20289249e-01  1.11210499e-01  7.39450225e-07  4.91739174e-07  5.35548982e-01 
 3.23859977e-09  1.29492172e-01  1.03126036e-01  1.03746646e-01  7.39450228e-07  6.04929216e-07  5.44507824e-01 
 5.82493730e-01  1.00666835e-01  9.37354263e-02  9.89392727e-02  7.39451018e-07  6.90404843e-07  5.50283628e-01 
