 b0              v(Vb0)          v(Vb1)          v(Vb2)          i(Vbias)        i(viout)        v(vbout)       
 3.25708965e-09  4.90924372e-01  4.86326065e-01  4.92133749e-01  8.82804037e-07  7.54685203e-12  1.29753283e-01 
 6.01843466e-01  1.27947052e-01  1.52230764e-01  1.78852033e-01  8.82804524e-07  1.46651152e-07  4.89590051e-01 
 3.25708966e-09  1.54444243e-01  1.30437548e-01  1.57897339e-01  8.82804534e-07  2.73308524e-07  5.15108664e-01 
 6.01843552e-01  1.14181681e-01  1.15050440e-01  1.43319433e-01  8.82805023e-07  4.16473771e-07  5.32823230e-01 
 3.25708966e-09  1.80269867e-01  1.57647282e-01  1.29683814e-01  8.82804501e-07  6.12138427e-07  5.49379401e-01 
 6.01843546e-01  1.20885921e-01  1.30624002e-01  1.21998197e-01  8.82804989e-07  7.57530541e-07  5.58708727e-01 
 3.25708955e-09  1.41705525e-01  1.16776220e-01  1.16462753e-01  8.82805002e-07  8.81517936e-07  5.65427424e-01 
 6.01843634e-01  1.09316905e-01  1.05255571e-01  1.11029950e-01  8.82805491e-07  1.02123215e-06  5.72021140e-01 
