 b0              v(b0)           v(b1)           v(b2)           i(vbias)        i(viout)        v(vbout)       
 3.27074470e-09  3.27074470e-09  3.25054421e-09  3.24513220e-09  6.25792136e-07  1.36419764e-11  1.45376867e-01 
 5.67975979e-01  5.67975979e-01  3.25054421e-09  3.24513220e-09  6.25793203e-07  1.00700563e-07  4.69196921e-01 
 3.27074471e-09  3.27074471e-09  5.67975977e-01  3.24513220e-09  6.25793192e-07  1.98227985e-07  4.96650091e-01 
 5.67976175e-01  5.67976175e-01  5.67976175e-01  3.24513221e-09  6.25794264e-07  2.90232727e-07  5.12508343e-01 
 3.27074471e-09  3.27074471e-09  3.25054422e-09  5.67975977e-01  6.25793192e-07  4.14132785e-07  5.27583297e-01 
 5.67976174e-01  5.67976174e-01  3.25054422e-09  5.67976174e-01  6.25794260e-07  5.03626847e-07  5.36008393e-01 
 3.27074472e-09  3.27074472e-09  5.67976173e-01  5.67976173e-01  6.25794255e-07  5.92199154e-07  5.43059746e-01 
 5.67976369e-01  5.67976369e-01  5.67976369e-01  5.67976369e-01  6.25795312e-07  6.77796141e-07  5.48991286e-01 
