 b0              v(b0)           v(b1)           v(b2)           i(vbias)        i(viout)        v(vbout)       
 3.26341365e-09  3.26341365e-09  3.26341365e-09  3.26341365e-09  7.36000030e-07  2.11648477e-11  1.59984556e-01 
 5.83637518e-01  5.83637518e-01  3.26341366e-09  3.26341366e-09  7.36000740e-07  1.68067226e-07  4.89134852e-01 
 3.26341366e-09  3.26341366e-09  5.83637518e-01  3.26341366e-09  7.36000740e-07  3.20898645e-07  5.16025955e-01 
 5.83637644e-01  5.83637644e-01  5.83637644e-01  3.26341366e-09  7.36001453e-07  4.76249902e-07  5.32900290e-01 
 3.26341377e-09  3.26341377e-09  3.26341377e-09  5.83637518e-01  7.36000740e-07  6.14906838e-07  5.44030820e-01 
 5.83637644e-01  5.83637644e-01  3.26341366e-09  5.83637644e-01  7.36001454e-07  7.67470519e-07  5.53834486e-01 
 3.26341366e-09  3.26341366e-09  5.83637645e-01  5.83637645e-01  7.36001458e-07  9.09064752e-07  5.61428530e-01 
 5.83637772e-01  5.83637772e-01  5.83637772e-01  5.83637772e-01  7.36002173e-07  1.05389548e-06  5.68140996e-01 
