 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.58200896e-07  3.32520540e-09  4.58280613e-01  4.58280613e-01  4.58280613e-01  4.58280613e-01  3.26178776e-09  3.27469325e-09  1.58200896e-07  4.51727828e-08  1.00000000e+00 
 1.58201905e-07  4.58281368e-01  4.58281367e-01  4.58281367e-01  4.58281368e-01  4.58281368e-01  3.26178779e-09  3.27469317e-09  1.58201905e-07  4.66947441e-08  1.00000000e+00 
 1.58197937e-07  3.32520532e-09  3.29510184e-09  3.25478908e-09  3.22460107e-09  3.26704882e-09  4.58278410e-01  3.27469308e-09  1.58197937e-07  4.72622972e-08  1.00000000e+00 
 1.58199009e-07  4.58279196e-01  3.29510188e-09  3.25478911e-09  3.22460098e-09  3.26704896e-09  4.58279196e-01  3.27469311e-09  1.58199009e-07  4.87071787e-08  1.00000000e+00 
 1.58198992e-07  3.32520525e-09  4.58279173e-01  3.25478912e-09  3.22460099e-09  3.26704885e-09  4.58279173e-01  3.27469322e-09  1.58198992e-07  5.03153075e-08  1.00000000e+00 
 1.58200033e-07  4.58279959e-01  4.58279959e-01  3.25478902e-09  3.22460111e-09  3.26704898e-09  4.58279959e-01  3.27469313e-09  1.58200033e-07  5.18181267e-08  1.00000000e+00 
 1.58198935e-07  3.32520525e-09  3.29510188e-09  4.58279143e-01  3.22460099e-09  3.26704885e-09  4.58279143e-01  3.27469322e-09  1.58198935e-07  5.31190238e-08  1.00000000e+00 
 1.58199981e-07  4.58279922e-01  3.29510190e-09  4.58279921e-01  3.22460111e-09  3.26704898e-09  4.58279922e-01  3.27469313e-09  1.58199981e-07  5.46195267e-08  1.00000000e+00 
 1.58199933e-07  3.32520539e-09  4.58279878e-01  4.58279878e-01  3.22460111e-09  3.26704887e-09  4.58279878e-01  3.27469313e-09  1.58199933e-07  5.62546916e-08  1.00000000e+00 
 1.58200974e-07  4.58280671e-01  4.58280671e-01  4.58280671e-01  3.22460100e-09  3.26704887e-09  4.58280672e-01  3.27469325e-09  1.58200974e-07  5.77740664e-08  1.00000000e+00 
 1.58198884e-07  3.32520536e-09  3.29510188e-09  3.25478900e-09  4.58279110e-01  3.26704896e-09  4.58279110e-01  3.27469311e-09  1.58198884e-07  5.90999676e-08  1.00000000e+00 
 1.58199923e-07  4.58279882e-01  3.29510190e-09  3.25478902e-09  4.58279882e-01  3.26704898e-09  4.58279882e-01  3.27469313e-09  1.58199923e-07  6.05947790e-08  1.00000000e+00 
 1.58199897e-07  3.32520539e-09  4.58279862e-01  3.25478902e-09  4.58279862e-01  3.26704898e-09  4.58279862e-01  3.27469313e-09  1.58199897e-07  6.22324734e-08  1.00000000e+00 
 1.58200923e-07  4.58280641e-01  4.58280640e-01  3.25478903e-09  4.58280641e-01  3.26704899e-09  4.58280641e-01  3.27469313e-09  1.58200923e-07  6.37591100e-08  1.00000000e+00 
 1.58199886e-07  3.32520527e-09  3.29510190e-09  4.58279856e-01  4.58279856e-01  3.26704887e-09  4.58279856e-01  3.27469324e-09  1.58199886e-07  6.50612151e-08  1.00000000e+00 
 1.58200930e-07  4.58280631e-01  3.29510190e-09  4.58280631e-01  4.58280631e-01  3.26704887e-09  4.58280631e-01  3.27469313e-09  1.58200930e-07  6.65657609e-08  1.00000000e+00 
 1.58200894e-07  3.32520540e-09  4.58280601e-01  4.58280601e-01  4.58280601e-01  3.26704887e-09  4.58280601e-01  3.27469313e-09  1.58200894e-07  6.82008690e-08  1.00000000e+00 
