 b0              v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 3.25378988e-09  3.25378988e-09  3.23436595e-09  3.28283282e-09  3.25346332e-09  3.29282929e-09  3.24497967e-09  3.25903428e-09  9.90155079e-07  9.75175372e-08  1.00000000e+00 
 6.99720018e-01  6.99720018e-01  3.23436583e-09  3.28283282e-09  3.25346332e-09  3.29282919e-09  3.24497955e-09  3.25903428e-09  9.90155318e-07  9.78832482e-08  1.00000000e+00 
 3.25378989e-09  3.25378989e-09  6.99720015e-01  3.28283283e-09  3.25346334e-09  3.29282920e-09  3.24497968e-09  3.25903430e-09  9.90155299e-07  1.00073935e-07  1.00000000e+00 
 6.99720049e-01  6.99720049e-01  6.99720049e-01  3.28283272e-09  3.25346334e-09  3.29282920e-09  3.24497957e-09  3.25903430e-09  9.90155536e-07  1.00591765e-07  1.00000000e+00 
 3.25378977e-09  3.25378977e-09  3.23436595e-09  6.99720019e-01  3.25346332e-09  3.29282930e-09  3.24497967e-09  3.25903439e-09  9.90155324e-07  1.02974012e-07  1.00000000e+00 
 6.99720053e-01  6.99720053e-01  3.23436596e-09  6.99720053e-01  3.25346334e-09  3.29282920e-09  3.24497957e-09  3.25903430e-09  9.90155560e-07  1.03559056e-07  1.00000000e+00 
 3.25378989e-09  3.25378989e-09  6.99720049e-01  6.99720049e-01  3.25346334e-09  3.29282920e-09  3.24497957e-09  3.25903430e-09  9.90155537e-07  1.06034262e-07  1.00000000e+00 
 6.99720083e-01  6.99720083e-01  6.99720083e-01  6.99720083e-01  3.25346322e-09  3.29282931e-09  3.24497968e-09  3.25903441e-09  9.90155778e-07  1.06605939e-07  1.00000000e+00 
