 v-sweep         i(viout)        v(vout)        
 1.09000000e+00  1.69243846e-07  1.09000000e+00 
 1.10000000e+00  1.68883075e-07  1.10000000e+00 
 1.11000000e+00  1.68522688e-07  1.11000000e+00 
 1.12000000e+00  1.68162610e-07  1.12000000e+00 
 1.13000000e+00  1.67802863e-07  1.13000000e+00 
 1.14000000e+00  1.67443428e-07  1.14000000e+00 
 1.15000000e+00  1.67084270e-07  1.15000000e+00 
 1.16000000e+00  1.66725387e-07  1.16000000e+00 
 1.17000000e+00  1.66366787e-07  1.17000000e+00 
 1.18000000e+00  1.66008405e-07  1.18000000e+00 
 1.19000000e+00  1.65650249e-07  1.19000000e+00 
 1.20000000e+00  1.65292311e-07  1.20000000e+00 
 1.21000000e+00  1.64934555e-07  1.21000000e+00 
 1.22000000e+00  1.64576969e-07  1.22000000e+00 
 1.23000000e+00  1.64219497e-07  1.23000000e+00 
 1.24000000e+00  1.63862172e-07  1.24000000e+00 
 1.25000000e+00  1.63504929e-07  1.25000000e+00 
 1.26000000e+00  1.63147750e-07  1.26000000e+00 
 1.27000000e+00  1.62790601e-07  1.27000000e+00 
 1.28000000e+00  1.62433466e-07  1.28000000e+00 
 1.29000000e+00  1.62076301e-07  1.29000000e+00 
 1.30000000e+00  1.61719070e-07  1.30000000e+00 
 1.31000000e+00  1.61361724e-07  1.31000000e+00 
 1.32000000e+00  1.61004250e-07  1.32000000e+00 
 1.33000000e+00  1.60646561e-07  1.33000000e+00 
 1.34000000e+00  1.60288621e-07  1.34000000e+00 
 1.35000000e+00  1.59930361e-07  1.35000000e+00 
 1.36000000e+00  1.59571712e-07  1.36000000e+00 
 1.37000000e+00  1.59212609e-07  1.37000000e+00 
 1.38000000e+00  1.58852941e-07  1.38000000e+00 
 1.39000000e+00  1.58492600e-07  1.39000000e+00 
 1.40000000e+00  1.58131492e-07  1.40000000e+00 
 1.41000000e+00  1.57769431e-07  1.41000000e+00 
 1.42000000e+00  1.57406241e-07  1.42000000e+00 
 1.43000000e+00  1.57041701e-07  1.43000000e+00 
 1.44000000e+00  1.56675535e-07  1.44000000e+00 
 1.45000000e+00  1.56307392e-07  1.45000000e+00 
 1.46000000e+00  1.55936783e-07  1.46000000e+00 
 1.47000000e+00  1.55563120e-07  1.47000000e+00 
 1.48000000e+00  1.55185539e-07  1.48000000e+00 
 1.49000000e+00  1.54802901e-07  1.49000000e+00 
 1.50000000e+00  1.54413552e-07  1.50000000e+00 
 1.51000000e+00  1.54015074e-07  1.51000000e+00 
 1.52000000e+00  1.53603807e-07  1.52000000e+00 
 1.53000000e+00  1.53174105e-07  1.53000000e+00 
 1.54000000e+00  1.52716773e-07  1.54000000e+00 
 1.55000000e+00  1.52216698e-07  1.55000000e+00 
 1.56000000e+00  1.51648010e-07  1.56000000e+00 
 1.57000000e+00  1.50966070e-07  1.57000000e+00 
 1.58000000e+00  1.50094147e-07  1.58000000e+00 
 1.59000000e+00  1.48905544e-07  1.59000000e+00 
 1.60000000e+00  1.47206189e-07  1.60000000e+00 
 1.61000000e+00  1.44724423e-07  1.61000000e+00 
 1.62000000e+00  1.41098424e-07  1.62000000e+00 
 1.63000000e+00  1.35833222e-07  1.63000000e+00 
 1.64000000e+00  1.28415591e-07  1.64000000e+00 
 1.65000000e+00  1.17887609e-07  1.65000000e+00 
 1.66000000e+00  1.04275173e-07  1.66000000e+00 
 1.67000000e+00  8.91421941e-08  1.67000000e+00 
 1.68000000e+00  7.43429265e-08  1.68000000e+00 
 1.69000000e+00  6.08844921e-08  1.69000000e+00 
 1.70000000e+00  4.87530336e-08  1.70000000e+00 
 1.71000000e+00  3.78595697e-08  1.71000000e+00 
 1.72000000e+00  2.80091612e-08  1.72000000e+00 
 1.73000000e+00  1.89861762e-08  1.73000000e+00 
 1.74000000e+00  1.05586437e-08  1.74000000e+00 
 1.75000000e+00  2.46895127e-09  1.75000000e+00 
 1.76000000e+00 -5.57614577e-09  1.76000000e+00 
 1.77000000e+00 -1.39645451e-08  1.77000000e+00 
 1.78000000e+00 -2.33495250e-08  1.78000000e+00 
 1.79000000e+00 -3.39646373e-08  1.79000000e+00 
 1.80000000e+00 -4.52833060e-08  1.80000000e+00 
 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  3.01948600e-07  0.00000000e+00 
 1.00000000e-02  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464862e-01  6.76464861e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  3.01370818e-07  1.00000000e-02 
 2.00000000e-02  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  3.00795111e-07  2.00000000e-02 
 3.00000000e-02  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  3.00219928e-07  3.00000000e-02 
 4.00000000e-02  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  3.25854709e-09  1.16964320e-06  2.99645762e-07  4.00000000e-02 
 5.00000000e-02  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.99072646e-07  5.00000000e-02 
 6.00000000e-02  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.98500538e-07  6.00000000e-02 
 7.00000000e-02  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.97929445e-07  7.00000000e-02 
 8.00000000e-02  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964321e-06  2.97359374e-07  8.00000000e-02 
 9.00000000e-02  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.96790314e-07  9.00000000e-02 
 1.00000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.96222247e-07  1.00000000e-01 
 1.10000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.95655186e-07  1.10000000e-01 
 1.20000000e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  3.25854709e-09  1.16964320e-06  2.95089101e-07  1.20000000e-01 
 1.30000000e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  3.25854709e-09  1.16964320e-06  2.94524021e-07  1.30000000e-01 
 1.40000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.93959931e-07  1.40000000e-01 
 1.50000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.93396800e-07  1.50000000e-01 
 1.60000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.92834648e-07  1.60000000e-01 
 1.70000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.92273476e-07  1.70000000e-01 
 1.80000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.91713265e-07  1.80000000e-01 
 1.90000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.91154010e-07  1.90000000e-01 
 2.00000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.90595712e-07  2.00000000e-01 
 2.10000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464863e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.90038358e-07  2.10000000e-01 
