 b0              v(Vb0)          v(Vb1)          v(Vb2)          i(Vbias)        i(viout)        v(vbout)       
 3.29596629e-09  4.69084566e-01  4.64693636e-01  4.69047291e-01  6.66561194e-07  9.39204270e-12  1.27437635e-01 
 5.68941345e-01  1.27315382e-01  1.51243912e-01  1.74954662e-01  6.66562141e-07  9.28209225e-08  4.61637605e-01 
 3.29596619e-09  1.57434611e-01  1.34803271e-01  1.59042314e-01  6.66562123e-07  1.50749717e-07  4.81251152e-01 
 5.68941516e-01  1.15415366e-01  1.18342613e-01  1.43254969e-01  6.66563067e-07  2.40919077e-07  5.00670073e-01 
 3.29596619e-09  1.78710570e-01  1.56794118e-01  1.30699064e-01  6.66562130e-07  3.46633190e-07  5.16075734e-01 
 5.68941518e-01  1.20603424e-01  1.30487041e-01  1.22677146e-01  6.66563079e-07  4.35460832e-07  5.25898820e-01 
 3.29596620e-09  1.43652409e-01  1.20415841e-01  1.18452801e-01  6.66563060e-07  4.90375644e-07  5.31065509e-01 
 5.68941690e-01  1.10534861e-01  1.08440043e-01  1.12613296e-01  6.66564012e-07  5.76958280e-07  5.38201141e-01 
