 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 4.77646154e-08  3.21785893e-09  4.61443051e-01  4.61443051e-01  4.61443051e-01  4.61443051e-01  3.25484400e-09  3.24950280e-09  1.63419983e-07  4.79130193e-08  1.00000000e+00 
 4.94188157e-08  4.61443730e-01  4.61443730e-01  4.61443730e-01  4.61443730e-01  4.61443730e-01  3.25484414e-09  3.24950293e-09  1.63420903e-07  4.95508914e-08  1.00000000e+00 
 5.14650651e-08  3.21785879e-09  3.25952921e-09  3.25770240e-09  3.25913352e-09  3.24026825e-09  4.61441018e-01  3.24950275e-09  1.63417223e-07  5.15770040e-08  1.00000000e+00 
 5.30345119e-08  4.61441682e-01  3.25952922e-09  3.25770242e-09  3.25913353e-09  3.24026827e-09  4.61441682e-01  3.24950277e-09  1.63418122e-07  5.31309752e-08  1.00000000e+00 
 5.44365548e-08  3.21785878e-09  4.61441688e-01  3.25770240e-09  3.25913352e-09  3.24026825e-09  4.61441688e-01  3.24950287e-09  1.63418132e-07  5.45192620e-08  1.00000000e+00 
 5.60678473e-08  4.61442377e-01  4.61442377e-01  3.25770243e-09  3.25913355e-09  3.24026828e-09  4.61442377e-01  3.24950290e-09  1.63419067e-07  5.61344251e-08  1.00000000e+00 
 5.78216941e-08  3.21785891e-09  3.25952922e-09  4.61441670e-01  3.25913353e-09  3.24026827e-09  4.61441670e-01  3.24950277e-09  1.63418111e-07  5.78711621e-08  1.00000000e+00 
 5.94529297e-08  4.61442339e-01  3.25952924e-09  4.61442339e-01  3.25913355e-09  3.24026828e-09  4.61442339e-01  3.24950289e-09  1.63419017e-07  5.94863678e-08  1.00000000e+00 
 6.08799837e-08  3.21785880e-09  4.61442349e-01  4.61442349e-01  3.25913353e-09  3.24026827e-09  4.61442349e-01  3.24950288e-09  1.63419028e-07  6.08994384e-08  1.00000000e+00 
 6.25304324e-08  4.61443042e-01  4.61443042e-01  4.61443042e-01  3.25913355e-09  3.24026828e-09  4.61443042e-01  3.24950290e-09  1.63419973e-07  6.25337151e-08  1.00000000e+00 
 6.45165414e-08  3.21785891e-09  3.25952923e-09  3.25770242e-09  4.61441707e-01  3.24026827e-09  4.61441707e-01  3.24950288e-09  1.63418150e-07  6.45003695e-08  1.00000000e+00 
 6.61412969e-08  4.61442391e-01  3.25952923e-09  3.25770242e-09  4.61442392e-01  3.24026827e-09  4.61442391e-01  3.24950288e-09  1.63419084e-07  6.61093082e-08  1.00000000e+00 
 6.75684646e-08  3.21785880e-09  4.61442361e-01  3.25770242e-09  4.61442361e-01  3.24026827e-09  4.61442361e-01  3.24950288e-09  1.63419045e-07  6.75226346e-08  1.00000000e+00 
 6.92277808e-08  4.61443062e-01  4.61443062e-01  3.25770254e-09  4.61443062e-01  3.24026828e-09  4.61443062e-01  3.24950290e-09  1.63419994e-07  6.91657789e-08  1.00000000e+00 
 7.09867436e-08  3.21785880e-09  3.25952923e-09  4.61442357e-01  4.61442357e-01  3.24026827e-09  4.61442357e-01  3.24950288e-09  1.63419042e-07  7.09075891e-08  1.00000000e+00 
 7.26200824e-08  4.61443051e-01  3.25952926e-09  4.61443051e-01  4.61443051e-01  3.24026830e-09  4.61443051e-01  3.24950291e-09  1.63419983e-07  7.25249976e-08  1.00000000e+00 
 7.40446353e-08  3.21785893e-09  4.61443037e-01  4.61443037e-01  4.61443037e-01  3.24026829e-09  4.61443037e-01  3.24950291e-09  1.63419958e-07  7.39357517e-08  1.00000000e+00 
 7.56926966e-08  4.61443727e-01  4.61443727e-01  4.61443726e-01  4.61443727e-01  3.24026831e-09  4.61443726e-01  3.24950293e-09  1.63420896e-07  7.55677121e-08  1.00000000e+00 
 7.64352990e-08  3.21785890e-09  3.25952921e-09  3.25770240e-09  3.25913341e-09  4.61441681e-01  4.61441681e-01  3.24950287e-09  1.63418129e-07  7.63030243e-08  1.00000000e+00 
 7.80314622e-08  4.61442349e-01  3.25952923e-09  3.25770253e-09  3.25913353e-09  4.61442349e-01  4.61442349e-01  3.24950288e-09  1.63419028e-07  7.78837119e-08  1.00000000e+00 
 7.94493644e-08  3.21785880e-09  4.61442385e-01  3.25770253e-09  3.25913353e-09  4.61442385e-01  4.61442385e-01  3.24950288e-09  1.63419077e-07  7.92878438e-08  1.00000000e+00 
 8.10934466e-08  4.61443049e-01  4.61443049e-01  3.25770244e-09  3.25913345e-09  4.61443049e-01  4.61443049e-01  3.24950280e-09  1.63419976e-07  8.09159246e-08  1.00000000e+00 
 8.28481461e-08  3.21785892e-09  3.25952924e-09  4.61442326e-01  3.25913355e-09  4.61442326e-01  4.61442326e-01  3.24950289e-09  1.63418999e-07  8.26534716e-08  1.00000000e+00 
 8.44904662e-08  4.61443051e-01  3.25952926e-09  4.61443051e-01  3.25913345e-09  4.61443051e-01  4.61443051e-01  3.24950280e-09  1.63419983e-07  8.42797334e-08  1.00000000e+00 
 8.59257057e-08  3.21785894e-09  4.61443042e-01  4.61443042e-01  3.25913345e-09  4.61443042e-01  4.61443042e-01  3.24950280e-09  1.63419973e-07  8.57011031e-08  1.00000000e+00 
 8.75826345e-08  4.61443730e-01  4.61443730e-01  4.61443730e-01  3.25913357e-09  4.61443730e-01  4.61443730e-01  3.24950281e-09  1.63420911e-07  8.73418742e-08  1.00000000e+00 
 8.95515200e-08  3.21785881e-09  3.25952924e-09  3.25770254e-09  4.61442386e-01  4.61442386e-01  4.61442386e-01  3.24950278e-09  1.63419084e-07  8.92915466e-08  1.00000000e+00 
 9.11718416e-08  4.61443055e-01  3.25952926e-09  3.25770256e-09  4.61443056e-01  4.61443055e-01  4.61443055e-01  3.24950280e-09  1.63419983e-07  9.08960800e-08  1.00000000e+00 
