 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 2.42034162e-08  3.26606234e-09  4.32101796e-01  4.32101796e-01  4.32101796e-01  4.32101796e-01  3.28428812e-09  3.26280513e-09  7.84189034e-08  2.38095339e-08  1.00000000e+00 
 2.50695962e-08  4.32103283e-01  4.32103283e-01  4.32103283e-01  4.32103283e-01  4.32103283e-01  3.28428817e-09  3.26280518e-09  7.84199052e-08  2.46536587e-08  1.00000000e+00 
 2.75584853e-08  3.26606223e-09  3.33759505e-09  3.27983734e-09  3.28191244e-09  3.29119748e-09  4.32097078e-01  3.26280500e-09  7.84157415e-08  2.70796647e-08  1.00000000e+00 
 2.83777695e-08  4.32098569e-01  3.33759499e-09  3.27983738e-09  3.28191249e-09  3.29119755e-09  4.32098569e-01  3.26280504e-09  7.84167398e-08  2.78784427e-08  1.00000000e+00 
 2.90782509e-08  3.26606227e-09  4.32098693e-01  3.27983738e-09  3.28191249e-09  3.29119755e-09  4.32098693e-01  3.26280505e-09  7.84168250e-08  2.85610753e-08  1.00000000e+00 
 2.99280600e-08  4.32100154e-01  4.32100154e-01  3.27983742e-09  3.28191254e-09  3.29119760e-09  4.32100154e-01  3.26280509e-09  7.84178056e-08  2.93896107e-08  1.00000000e+00 
 3.05282128e-08  3.26606226e-09  3.33759500e-09  4.32098632e-01  3.28191249e-09  3.29119755e-09  4.32098632e-01  3.26280504e-09  7.84167895e-08  2.99748137e-08  1.00000000e+00 
 3.13759756e-08  4.32100102e-01  3.33759515e-09  4.32100102e-01  3.28191264e-09  3.29119759e-09  4.32100102e-01  3.26280507e-09  7.84177736e-08  3.08013597e-08  1.00000000e+00 
 3.20860067e-08  3.26606229e-09  4.32100183e-01  4.32100183e-01  3.28191252e-09  3.29119759e-09  4.32100183e-01  3.26280507e-09  7.84178233e-08  3.14936841e-08  1.00000000e+00 
 3.29458771e-08  4.32101663e-01  4.32101663e-01  4.32101663e-01  3.28191269e-09  3.29119765e-09  4.32101663e-01  3.26280512e-09  7.84188146e-08  3.23320251e-08  1.00000000e+00 
 3.39663302e-08  3.26606227e-09  3.33759511e-09  3.27983737e-09  4.32098586e-01  3.29119755e-09  4.32098586e-01  3.26280504e-09  7.84167504e-08  3.33269981e-08  1.00000000e+00 
 3.48130129e-08  4.32100078e-01  3.33759515e-09  3.27983740e-09  4.32100078e-01  3.29119759e-09  4.32100078e-01  3.26280507e-09  7.84177558e-08  3.41526345e-08  1.00000000e+00 
 3.55260568e-08  3.26606229e-09  4.32100158e-01  3.27983740e-09  4.32100158e-01  3.29119759e-09  4.32100158e-01  3.26280507e-09  7.84178056e-08  3.48480285e-08  1.00000000e+00 
 3.63918389e-08  4.32101675e-01  4.32101675e-01  3.27983745e-09  4.32101675e-01  3.29119765e-09  4.32101675e-01  3.26280512e-09  7.84188288e-08  3.56923238e-08  1.00000000e+00 
 3.69927307e-08  3.26606229e-09  3.33759515e-09  4.32100127e-01  4.32100127e-01  3.29119759e-09  4.32100127e-01  3.26280507e-09  7.84177878e-08  3.62783226e-08  1.00000000e+00 
 3.78478262e-08  4.32101599e-01  3.33759511e-09  4.32101599e-01  4.32101599e-01  3.29119766e-09  4.32101599e-01  3.26280513e-09  7.84187790e-08  3.71123150e-08  1.00000000e+00 
 3.85619501e-08  3.26606234e-09  4.32101679e-01  4.32101679e-01  4.32101679e-01  3.29119766e-09  4.32101679e-01  3.26280513e-09  7.84188252e-08  3.78087606e-08  1.00000000e+00 
 3.94251174e-08  4.32103162e-01  4.32103162e-01  4.32103162e-01  4.32103162e-01  3.29119772e-09  4.32103162e-01  3.26280517e-09  7.84198235e-08  3.86505121e-08  1.00000000e+00 
 4.06242862e-08  3.26606225e-09  3.33759510e-09  3.27983736e-09  3.28191248e-09  4.32098694e-01  4.32098694e-01  3.26280503e-09  7.84168286e-08  3.98200655e-08  1.00000000e+00 
 4.14502779e-08  4.32100158e-01  3.33759515e-09  3.27983740e-09  3.28191252e-09  4.32100158e-01  4.32100158e-01  3.26280508e-09  7.84178056e-08  4.06258209e-08  1.00000000e+00 
 4.21539426e-08  3.26606229e-09  4.32100273e-01  3.27983741e-09  3.28191253e-09  4.32100273e-01  4.32100272e-01  3.26280508e-09  7.84178837e-08  4.13122052e-08  1.00000000e+00 
 4.30059686e-08  4.32101774e-01  4.32101774e-01  3.27983746e-09  3.28191259e-09  4.32101774e-01  4.32101774e-01  3.26280513e-09  7.84188927e-08  4.21432418e-08  1.00000000e+00 
 4.36020855e-08  3.26606230e-09  3.33759506e-09  4.32100181e-01  3.28191254e-09  4.32100181e-01  4.32100181e-01  3.26280509e-09  7.84178198e-08  4.27246221e-08  1.00000000e+00 
 4.44566695e-08  4.32101694e-01  3.33759512e-09  4.32101694e-01  3.28191259e-09  4.32101694e-01  4.32101693e-01  3.26280513e-09  7.84188359e-08  4.35583303e-08  1.00000000e+00 
 4.51728965e-08  3.26606234e-09  4.32101780e-01  4.32101780e-01  3.28191259e-09  4.32101780e-01  4.32101780e-01  3.26280513e-09  7.84188963e-08  4.42569359e-08  1.00000000e+00 
 4.60373144e-08  4.32103264e-01  4.32103264e-01  4.32103264e-01  3.28191264e-09  4.32103264e-01  4.32103264e-01  3.26280518e-09  7.84198946e-08  4.51002364e-08  1.00000000e+00 
 4.70485020e-08  3.26606230e-09  3.33759517e-09  3.27983742e-09  4.32100175e-01  4.32100175e-01  4.32100175e-01  3.26280509e-09  7.84178127e-08  4.60867540e-08  1.00000000e+00 
