 b0              v(b0)           v(b1)           v(b2)           i(vbias)        i(viout)        v(vbout)       
 3.25208142e-09  3.25208142e-09  3.29380623e-09  3.27217972e-09  7.01897032e-07  4.44955948e-08  4.34144865e-01 
 5.82173524e-01  5.82173524e-01  3.29380613e-09  3.27217962e-09  7.01897814e-07  1.51665351e-07  4.82723458e-01 
 3.25208143e-09  3.25208143e-09  5.82173529e-01  3.27217962e-09  7.01897844e-07  2.68593356e-07  5.06318417e-01 
 5.82173665e-01  5.82173665e-01  5.82173664e-01  3.27217962e-09  7.01898628e-07  3.81720566e-07  5.21177057e-01 
 3.25208131e-09  3.25208131e-09  3.29380624e-09  5.82173528e-01  7.01897840e-07  4.73560126e-07  5.30434044e-01 
 5.82173664e-01  5.82173664e-01  3.29380614e-09  5.82173664e-01  7.01898625e-07  5.88377430e-07  5.39875139e-01 
 3.25208132e-09  3.25208132e-09  5.82173669e-01  5.82173669e-01  7.01898651e-07  6.98978980e-07  5.47459018e-01 
 5.82173803e-01  5.82173803e-01  5.82173803e-01  5.82173803e-01  7.01899429e-07  8.07297047e-07  5.53870753e-01 
