 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.03913284e-11  3.23469870e-09  3.23668750e-09  3.26303488e-09  3.29256847e-09  3.25029908e-09  3.25154185e-09  3.24499496e-09  6.83579463e-07  7.19151672e-09  1.00000000e+00 
 6.72113962e-09  5.57801523e-01  3.23668762e-09  3.26303477e-09  3.29256859e-09  3.25029920e-09  3.25154185e-09  3.24499496e-09  6.83580184e-07  8.91917296e-09  1.00000000e+00 
 1.47231479e-08  3.23469859e-09  5.57801530e-01  3.26303477e-09  3.29256847e-09  3.25029920e-09  3.25154185e-09  3.24499496e-09  6.83580222e-07  1.19985444e-08  1.00000000e+00 
 2.15485008e-08  5.57801661e-01  5.57801661e-01  3.26303478e-09  3.29256859e-09  3.25029920e-09  3.25154186e-09  3.24499496e-09  6.83580947e-07  1.59681690e-08  1.00000000e+00 
 3.14448985e-08  3.23469870e-09  3.23668750e-09  5.57801526e-01  3.29256847e-09  3.25029908e-09  3.25154185e-09  3.24499496e-09  6.83580202e-07  2.37989255e-08  1.00000000e+00 
 3.81966576e-08  5.57801658e-01  3.23668762e-09  5.57801658e-01  3.29256848e-09  3.25029920e-09  3.25154186e-09  3.24499496e-09  6.83580931e-07  2.98019387e-08  1.00000000e+00 
 4.60954586e-08  3.23469859e-09  5.57801662e-01  5.57801662e-01  3.29256848e-09  3.25029920e-09  3.25154186e-09  3.24499496e-09  6.83580954e-07  3.70085260e-08  1.00000000e+00 
 5.27879629e-08  5.57801795e-01  5.57801795e-01  5.57801795e-01  3.29256848e-09  3.25029920e-09  3.25154186e-09  3.24499497e-09  6.83581687e-07  4.31544152e-08  1.00000000e+00 
 5.35892839e-08  3.23469870e-09  3.23668762e-09  3.26303477e-09  5.57801526e-01  3.25029920e-09  3.25154185e-09  3.24499496e-09  6.83580199e-07  4.38908430e-08  1.00000000e+00 
 6.02701543e-08  5.57801654e-01  3.23668762e-09  3.26303477e-09  5.57801654e-01  3.25029909e-09  3.25154174e-09  3.24499496e-09  6.83580909e-07  5.00287030e-08  1.00000000e+00 
 6.81574613e-08  3.23469870e-09  5.57801660e-01  3.26303478e-09  5.57801660e-01  3.25029920e-09  3.25154186e-09  3.24499496e-09  6.83580943e-07  5.72659999e-08  1.00000000e+00 
 7.48620050e-08  5.57801792e-01  5.57801792e-01  3.26303478e-09  5.57801791e-01  3.25029909e-09  3.25154186e-09  3.24499497e-09  6.83581669e-07  6.34086348e-08  1.00000000e+00 
 8.44311925e-08  3.23469870e-09  3.23668751e-09  5.57801657e-01  5.57801657e-01  3.25029920e-09  3.25154186e-09  3.24499496e-09  6.83580927e-07  7.21619173e-08  1.00000000e+00 
 9.10350557e-08  5.57801791e-01  3.23668751e-09  5.57801791e-01  5.57801791e-01  3.25029909e-09  3.25154186e-09  3.24499497e-09  6.83581666e-07  7.81944323e-08  1.00000000e+00 
