 b0              v(Vb0)          v(Vb1)          v(Vb2)          i(Vbias)        i(viout)        v(vbout)       
 3.24757811e-09  4.80255646e-01  4.73398463e-01  4.78449436e-01  6.81967673e-07  8.81827944e-12  1.27263760e-01 
 5.81283314e-01  1.33673896e-01  1.57945015e-01  1.79706144e-01  6.81968469e-07  1.08361522e-07  4.69690093e-01 
 3.24757800e-09  1.61193440e-01  1.35583723e-01  1.58266479e-01  6.81968497e-07  2.07688331e-07  4.96211509e-01 
 5.81283458e-01  1.20835669e-01  1.21085886e-01  1.44542583e-01  6.81969285e-07  3.11274125e-07  5.13149979e-01 
 3.24757800e-09  1.80070696e-01  1.55119590e-01  1.32703240e-01  6.81968498e-07  4.37923591e-07  5.27731085e-01 
 5.81283459e-01  1.25885085e-01  1.33005017e-01  1.25113016e-01  6.81969286e-07  5.42953606e-07  5.37062746e-01 
 3.24757812e-09  1.46457912e-01  1.20165207e-01  1.19348348e-01  6.81969310e-07  6.37913500e-07  5.44141390e-01 
 5.81283600e-01  1.15315362e-01  1.09903239e-01  1.14058645e-01  6.81970090e-07  7.38380287e-07  5.50630527e-01 
