 b0              v(b0)           v(b1)           v(b2)           i(vbias)        i(viout)        v(vbout)       
 3.30490836e-09  3.30490836e-09  3.25800935e-09  3.30129328e-09  9.44624946e-06  2.84168244e-11  1.72249712e-01 
 1.19530760e+00  1.19530760e+00  3.25800935e-09  3.30129340e-09  9.44624945e-06  2.23571933e-05  7.52597120e-01 
 3.30490847e-09  3.30490847e-09  1.19530760e+00  3.30129328e-09  9.44624945e-06  2.30967593e-05  7.55570775e-01 
 1.19530760e+00  1.19530760e+00  1.19530760e+00  3.30129328e-09  9.44624946e-06  2.59161545e-05  7.66434852e-01 
 3.30490836e-09  3.30490836e-09  3.25800935e-09  1.19530760e+00  9.44624946e-06  2.42597640e-05  7.60138555e-01 
 1.19530760e+00  1.19530760e+00  3.25800935e-09  1.19530760e+00  9.44624945e-06  2.74688402e-05  7.72135766e-01 
 3.30490836e-09  3.30490836e-09  1.19530760e+00  1.19530760e+00  9.44624945e-06  2.79359774e-05  7.73815906e-01 
 1.19530760e+00  1.19530760e+00  1.19530759e+00  1.19530759e+00  9.44624945e-06  2.95434512e-05  7.79482981e-01 
