 v-sweep         i(viout)        v(vout)        
 1.09000000e+00  3.55541053e-07  1.09000000e+00 
 1.10000000e+00  3.54823800e-07  1.10000000e+00 
 1.11000000e+00  3.54106994e-07  1.11000000e+00 
 1.12000000e+00  3.53390641e-07  1.12000000e+00 
 1.13000000e+00  3.52674664e-07  1.13000000e+00 
 1.14000000e+00  3.51959038e-07  1.14000000e+00 
 1.15000000e+00  3.51243762e-07  1.15000000e+00 
 1.16000000e+00  3.50528747e-07  1.16000000e+00 
 1.17000000e+00  3.49814007e-07  1.17000000e+00 
 1.18000000e+00  3.49099480e-07  1.18000000e+00 
 1.19000000e+00  3.48385129e-07  1.19000000e+00 
 1.20000000e+00  3.47670904e-07  1.20000000e+00 
 1.21000000e+00  3.46956732e-07  1.21000000e+00 
 1.22000000e+00  3.46242597e-07  1.22000000e+00 
 1.23000000e+00  3.45528429e-07  1.23000000e+00 
 1.24000000e+00  3.44814147e-07  1.24000000e+00 
 1.25000000e+00  3.44099719e-07  1.25000000e+00 
 1.26000000e+00  3.43385013e-07  1.26000000e+00 
 1.27000000e+00  3.42669999e-07  1.27000000e+00 
 1.28000000e+00  3.41954552e-07  1.28000000e+00 
 1.29000000e+00  3.41238602e-07  1.29000000e+00 
 1.30000000e+00  3.40521980e-07  1.30000000e+00 
 1.31000000e+00  3.39804611e-07  1.31000000e+00 
 1.32000000e+00  3.39086307e-07  1.32000000e+00 
 1.33000000e+00  3.38366911e-07  1.33000000e+00 
 1.34000000e+00  3.37646199e-07  1.34000000e+00 
 1.35000000e+00  3.36923966e-07  1.35000000e+00 
 1.36000000e+00  3.36199911e-07  1.36000000e+00 
 1.37000000e+00  3.35473652e-07  1.37000000e+00 
 1.38000000e+00  3.34744797e-07  1.38000000e+00 
 1.39000000e+00  3.34012851e-07  1.39000000e+00 
 1.40000000e+00  3.33277084e-07  1.40000000e+00 
 1.41000000e+00  3.32536636e-07  1.41000000e+00 
 1.42000000e+00  3.31790350e-07  1.42000000e+00 
 1.43000000e+00  3.31036683e-07  1.43000000e+00 
 1.44000000e+00  3.30273492e-07  1.44000000e+00 
 1.45000000e+00  3.29497720e-07  1.45000000e+00 
 1.46000000e+00  3.28704898e-07  1.46000000e+00 
 1.47000000e+00  3.27888445e-07  1.47000000e+00 
 1.48000000e+00  3.27038089e-07  1.48000000e+00 
 1.49000000e+00  3.26137613e-07  1.49000000e+00 
 1.50000000e+00  3.25160491e-07  1.50000000e+00 
 1.51000000e+00  3.24062558e-07  1.51000000e+00 
 1.52000000e+00  3.22769397e-07  1.52000000e+00 
 1.53000000e+00  3.21156957e-07  1.53000000e+00 
 1.54000000e+00  3.19026643e-07  1.54000000e+00 
 1.55000000e+00  3.16082787e-07  1.55000000e+00 
 1.56000000e+00  3.11921262e-07  1.56000000e+00 
 1.57000000e+00  3.06020834e-07  1.57000000e+00 
 1.58000000e+00  2.97706237e-07  1.58000000e+00 
 1.59000000e+00  2.86078699e-07  1.59000000e+00 
 1.60000000e+00  2.70390299e-07  1.60000000e+00 
 1.61000000e+00  2.49540859e-07  1.61000000e+00 
 1.62000000e+00  2.24732760e-07  1.62000000e+00 
 1.63000000e+00  1.98749444e-07  1.63000000e+00 
 1.64000000e+00  1.73952520e-07  1.64000000e+00 
 1.65000000e+00  1.51467743e-07  1.65000000e+00 
 1.66000000e+00  1.31371900e-07  1.66000000e+00 
 1.67000000e+00  1.13541102e-07  1.67000000e+00 
 1.68000000e+00  9.77338157e-08  1.68000000e+00 
 1.69000000e+00  8.37139158e-08  1.69000000e+00 
 1.70000000e+00  7.13566717e-08  1.70000000e+00 
 1.71000000e+00  6.08290609e-08  1.71000000e+00 
 1.72000000e+00  5.16307495e-08  1.72000000e+00 
 1.73000000e+00  4.25696385e-08  1.73000000e+00 
 1.74000000e+00  3.29445200e-08  1.74000000e+00 
 1.75000000e+00  2.23868426e-08  1.75000000e+00 
 1.76000000e+00  1.07379421e-08  1.76000000e+00 
 1.77000000e+00 -1.58067515e-09  1.77000000e+00 
 1.78000000e+00 -1.35896432e-08  1.78000000e+00 
 1.79000000e+00 -2.46356908e-08  1.79000000e+00 
 1.80000000e+00 -3.45721602e-08  1.80000000e+00 
